gene_name	gene_id	gene_type	x_inactivation_status	gene_start	gene_end	ACB	ASW	CDX	CLM	ESN	GBR	GWD	IBS	JPT	LWK	MSL	MXL	PEL	PUR	YRI	total_populations
CDKL5	ENSG00000008086	protein_coding	subject	18425583	18653629	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ENSG00000229491	ENSG00000229491	lncRNA	subject	45183251	45333917	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000229151	ENSG00000229151	lncRNA	subject	51190598	51396505	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000233887	ENSG00000233887	processed_pseudogene	subject	97847263	97849017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSG00000233250	ENSG00000233250	lncRNA	subject	53432722	53433032	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
ALG13	ENSG00000101901	protein_coding	subject	111665811	111760649	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ACTR3P2	ENSG00000232267	processed_pseudogene	subject	68771322	68772578	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
DANT2	ENSG00000235244	lncRNA	subject	115694880	115969148	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
DCAF8L1	ENSG00000226372	protein_coding	subject	27977992	27981449	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
DIAPH2-AS1	ENSG00000236256	lncRNA	subject	97431286	97642589	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
DIAPH2	ENSG00000147202	protein_coding	subject	96684712	97604997	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
EFNB1	ENSG00000090776	protein_coding	subject	68829021	68842160	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
EEF1GP5	ENSG00000234785	processed_pseudogene	subject	115702811	115704120	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000214915	ENSG00000214915	lncRNA	subject	151515551	151516245	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000225689	ENSG00000225689	lncRNA	subject	128027322	129326707	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
CNKSR2	ENSG00000149970	protein_coding	subject	21372801	21654695	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ACSL4	ENSG00000068366	protein_coding	subject	109624244	109733403	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000286523	ENSG00000286523	lncRNA	subject	96127747	96372889	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ENSG00000279587	ENSG00000279587	TEC	subject	117894632	117895683	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000279155	ENSG00000279155	TEC	subject	48939992	48940808	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000270413	ENSG00000270413	processed_pseudogene	subject	114900359	114900574	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000250349	ENSG00000250349	protein_coding	subject	37349330	38687674	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ENSG00000270052	ENSG00000270052	lncRNA	subject	151497726	151498354	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000241607	ENSG00000241607	unprocessed_pseudogene	subject	37441523	37442068	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ENSG00000240143	ENSG00000240143	lncRNA	subject	129794994	129796963	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ENSG00000233928	ENSG00000233928	lncRNA	subject	33726337	34346527	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
ENSG00000236205	ENSG00000236205	unprocessed_pseudogene	subject	142147862	142148866	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
ENSG00000235189	ENSG00000235189	lncRNA	subject	129869064	129957528	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ENSG00000234748	ENSG00000234748	processed_pseudogene	subject	146537535	146538048	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000287685	ENSG00000287685	lncRNA	subject	110472692	110524320	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ENSG00000288908	ENSG00000288908	lncRNA	subject	48958643	48959773	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
GJA6P	ENSG00000236187	processed_pseudogene	subject	18535079	18536120	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
ENSG00000287767	ENSG00000287767	lncRNA	subject	51325790	51330662	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
MID1	ENSG00000101871	protein_coding	subject	10445310	10833654	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1
MID2	ENSG00000080561	protein_coding	subject	107825755	107931637	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
MIR3915	ENSG00000263600	miRNA	subject	32583656	32583752	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR548F5	ENSG00000221348	miRNA	subject	32641474	32641559	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR6857	ENSG00000278204	miRNA	subject	53405673	53405765	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Metazoa_SRP	ENSG00000275070	misc_RNA	subject	129796491	129796783	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
NCBP2L	ENSG00000170935	protein_coding	subject	107774899	107795829	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
NUDT10	ENSG00000122824	protein_coding	subject	51332231	51337525	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
HSD17B10	ENSG00000072506	protein_coding	subject	53431258	53434370	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
HTR2C	ENSG00000147246	protein_coding	subject	114584078	114910061	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
KCND1	ENSG00000102057	protein_coding	subject	48961378	48971844	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
IL1RAPL2	ENSG00000189108	protein_coding	subject	104566199	105767829	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
KCNE5	ENSG00000176076	protein_coding	subject	109623700	109625172	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
KLHL13	ENSG00000003096	protein_coding	subject	117897813	118117340	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
LRRFIP2P1	ENSG00000237014	processed_pseudogene	subject	73237647	73238709	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
MFN1P1	ENSG00000233874	processed_pseudogene	subject	109568478	109570289	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
PQBP1	ENSG00000102103	protein_coding	subject	48890197	48903402	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
PLS3	ENSG00000102024	protein_coding	subject	115561174	115650861	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
PIM2	ENSG00000102096	protein_coding	subject	48913182	48919024	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
PHF5AP4	ENSG00000270431	processed_pseudogene	subject	115659713	115660022	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
PGRMC1	ENSG00000101856	protein_coding	subject	119236245	119244466	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
PDHA1	ENSG00000131828	protein_coding	subject	19343893	19361718	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
OTUD5	ENSG00000068308	protein_coding	subject	48922024	48958386	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
NXT2	ENSG00000101888	protein_coding	subject	109535781	109544698	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
RNU6-722P	ENSG00000223309	snRNA	subject	48959179	48959282	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
RNU6-207P	ENSG00000206864	snRNA	subject	105676071	105676177	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
RPL3P12	ENSG00000232496	processed_pseudogene	subject	122538253	122539460	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
RNU6ATAC23P	ENSG00000221375	snRNA	subject	139885481	139885603	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
RNA5SP517	ENSG00000201594	rRNA_pseudogene	subject	146427456	146427572	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
RIBC1	ENSG00000158423	protein_coding	subject	53422690	53431120	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
PRRG1	ENSG00000130962	protein_coding	subject	37349309	37457292	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
RARRES2P3	ENSG00000231913	processed_pseudogene	subject	21421822	21422294	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
SERBP1P1	ENSG00000213740	processed_pseudogene	subject	68783472	68785066	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
SASH3	ENSG00000122122	protein_coding	subject	129779949	129795201	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
RTL3	ENSG00000179300	protein_coding	subject	78656068	78659328	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
RPS26P57	ENSG00000236880	processed_pseudogene	subject	124688504	124688838	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
SUMO2P21	ENSG00000228532	processed_pseudogene	subject	115718942	115719229	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
SMC1A	ENSG00000072501	protein_coding	subject	53374149	53422728	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
SH3KBP1	ENSG00000147010	protein_coding	subject	19533977	19887600	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
SLC35A2	ENSG00000102100	protein_coding	subject	48903180	48911958	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
TIMM17B	ENSG00000126768	protein_coding	subject	48893447	48898143	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
TDGF1P3	ENSG00000225366	protein_coding	subject	110520896	110523021	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
TOMM20P4	ENSG00000230311	processed_pseudogene	subject	73223124	73223558	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
TSC22D3	ENSG00000157514	protein_coding	subject	107713221	107777342	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
VCX3A	ENSG00000169059	protein_coding	subject	6533618	6535118	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
YWHAZP8	ENSG00000225664	processed_pseudogene	subject	73274785	73275515	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Y_RNA	ENSG00000200291	misc_RNA	subject	117914244	117914345	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
ZDHHC9	ENSG00000188706	protein_coding	subject	129803288	129843909	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
