chr	gene_start	gene_end	strand	gene_id	gene_name	gene_type	x_inactivation_status	overlap_type	region_start	region_end	population	overlap_start	overlap_end	overlap_size_bp	ihs_max_score	relate_max_score
X	119249346	119257667	-	ENSG00000214992	AKAP17BP	unprocessed_pseudogene	subject	flanking	119301240	119301240	CLM	119301240	119301240	1	4.87645	5.79425
X	119291529	119335610	+	ENSG00000230392	ENSG00000230392	lncRNA	subject	contains_region	119301240	119301240	CLM	119301240	119301240	1	4.87645	5.79425
X	122422006	122479732	+	ENSG00000287776	ENSG00000287776	lncRNA	subject	flanking	122380168	122380168	CLM	122380168	122380168	1	4.59804	5.86588
X	147591612	147591909	-	ENSG00000228855	ENSG00000228855	processed_pseudogene	subject	overlapping	147622419	147661861	CLM	147622419	147661861	39443	7.48335	8.01792
X	124375903	125204312	-	ENSG00000009694	TENM1	protein_coding	subject	contains_region	124734651	124814773	ESN	124734651	124814773	80123	5.18934	5.66859
X	124688504	124688838	-	ENSG00000236880	RPS26P57	processed_pseudogene	subject	overlapping	124734651	124814773	ESN	124734651	124814773	80123	5.18934	5.66859
X	10445310	10833654	-	ENSG00000101871	MID1	protein_coding	subject	contains_region	10789082	10796361	GBR	10789082	10796361	7280	5.42701	5.25192
X	124375903	125204312	-	ENSG00000009694	TENM1	protein_coding	subject	contains_region	124887100	124887100	GWD	124887100	124887100	1	5.16808	5.57208
X	96684712	97604997	+	ENSG00000147202	DIAPH2	protein_coding	subject	contains_region	97461099	97466478	GWD	97461099	97466478	5380	4.82392	5.80376
X	97431286	97642589	-	ENSG00000236256	DIAPH2-AS1	lncRNA	subject	contains_region	97461099	97466478	GWD	97461099	97466478	5380	4.82392	5.80376
X	53374149	53422728	-	ENSG00000072501	SMC1A	protein_coding	subject	contains_region	53404752	53404752	GWD	53404752	53404752	1	5.13597	5.79274
X	53405673	53405765	-	ENSG00000278204	MIR6857	miRNA	subject	overlapping	53404752	53404752	GWD	53404752	53404752	1	5.13597	5.79274
X	53422690	53431120	+	ENSG00000158423	RIBC1	protein_coding	subject	overlapping	53404752	53404752	GWD	53404752	53404752	1	5.13597	5.79274
X	53431258	53434370	-	ENSG00000072506	HSD17B10	protein_coding	subject	overlapping	53404752	53404752	GWD	53404752	53404752	1	5.13597	5.79274
X	53432722	53433032	-	ENSG00000233250	ENSG00000233250	lncRNA	subject	overlapping	53404752	53404752	GWD	53404752	53404752	1	5.13597	5.79274
X	31097677	33339609	-	ENSG00000198947	DMD	protein_coding	subject	contains_region	31146158	31146158	GWD	31146158	31146158	1	7.25722	5.49049
X	147591612	147591909	-	ENSG00000228855	ENSG00000228855	processed_pseudogene	subject	overlapping	147622419	147678429	IBS	147622419	147678429	56011	6.83215	5.17925
X	139726346	139945276	-	ENSG00000101974	ATP11C	protein_coding	subject	contains_region	139830211	139853341	IBS	139830211	139853341	23131	6.67105	5.53252
X	139885481	139885603	+	ENSG00000221375	RNU6ATAC23P	snRNA	subject	overlapping	139830211	139853341	IBS	139830211	139853341	23131	6.67105	5.53252
X	111768011	112082776	-	ENSG00000072315	TRPC5	protein_coding	subject	flanking	112092473	112092473	IBS	112092473	112092473	1	4.1446	5.75309
X	112083016	112457514	+	ENSG00000187823	RTL4	protein_coding	subject	contains_region	112092473	112092473	IBS	112092473	112092473	1	4.1446	5.75309
X	31097677	33339609	-	ENSG00000198947	DMD	protein_coding	subject	contains_region	32298429	32298429	IBS	32298429	32298429	1	6.76017	5.10996
X	6533618	6535118	-	ENSG00000169059	VCX3A	protein_coding	subject	overlapping	6560514	6560514	IBS	6560514	6560514	1	4.86511	6.40367
X	141934496	142740581	+	ENSG00000288098	ENSG00000288098	lncRNA	subject	contains_region	142119136	142120223	JPT	142119136	142120223	1088	4.07528	5.61967
X	142147862	142148866	-	ENSG00000236205	ENSG00000236205	unprocessed_pseudogene	subject	overlapping	142119136	142120223	JPT	142119136	142120223	1088	4.07528	5.61967
X	146427456	146427572	-	ENSG00000201594	RNA5SP517	rRNA_pseudogene	subject	overlapping	146458610	146458610	LWK	146458610	146458610	1	5.73443	5.21292
X	31097677	33339609	-	ENSG00000198947	DMD	protein_coding	subject	contains_region	33329689	33329689	MSL	33329689	33329689	1	6.13284	7.33452
X	33726337	34346527	+	ENSG00000233928	ENSG00000233928	lncRNA	subject	contains_region	34008902	34008902	MSL	34008902	34008902	1	5.12569	5.11282
X	140397062	140398311	+	ENSG00000224942	EEDP1	processed_pseudogene	subject	contained	140323271	140429391	MXL	140323271	140429391	106121	7.80761	6.60767
X	140451148	140451208	+	ENSG00000275268	U7	snRNA	subject	overlapping	140323271	140429391	MXL	140323271	140429391	106121	7.80761	6.60767
X	140470866	140471274	-	ENSG00000225758	RPS17P17	processed_pseudogene	subject	overlapping	140323271	140429391	MXL	140323271	140429391	106121	7.80761	6.60767
X	44873188	45112779	+	ENSG00000147050	KDM6A	protein_coding	escape	contains_region	44899537	44937468	MXL	44899537	44937468	37932	4.79484	6.09409
X	51190598	51396505	-	ENSG00000229151	ENSG00000229151	lncRNA	subject	contains_region	51292838	51295219	PEL	51292838	51295219	2382	4.33708	7.50558
X	51325790	51330662	+	ENSG00000287767	ENSG00000287767	lncRNA	subject	overlapping	51292838	51295219	PEL	51292838	51295219	2382	4.33708	7.50558
X	51332231	51337525	+	ENSG00000122824	NUDT10	protein_coding	subject	overlapping	51292838	51295219	PEL	51292838	51295219	2382	4.33708	7.50558
X	45183251	45333917	+	ENSG00000229491	ENSG00000229491	lncRNA	subject	contains_region	45321561	45322474	PEL	45321561	45322474	914	4.46778	5.52913
X	44873188	45112779	+	ENSG00000147050	KDM6A	protein_coding	escape	contains_region	44941269	44958505	PEL	44941269	44958505	17237	5.98004	6.1219
X	48890197	48903402	+	ENSG00000102103	PQBP1	protein_coding	subject	overlapping	48917663	48918298	PEL	48917663	48918298	636	4.45653	7.02203
X	48893447	48898143	-	ENSG00000126768	TIMM17B	protein_coding	subject	overlapping	48917663	48918298	PEL	48917663	48918298	636	4.45653	7.02203
X	48903180	48911958	-	ENSG00000102100	SLC35A2	protein_coding	subject	overlapping	48917663	48918298	PEL	48917663	48918298	636	4.45653	7.02203
X	48913182	48919024	-	ENSG00000102096	PIM2	protein_coding	subject	contains_region	48917663	48918298	PEL	48917663	48918298	636	4.45653	7.02203
X	48922024	48958386	-	ENSG00000068308	OTUD5	protein_coding	subject	overlapping	48917663	48918298	PEL	48917663	48918298	636	4.45653	7.02203
X	48939992	48940808	+	ENSG00000279155	ENSG00000279155	TEC	subject	overlapping	48917663	48918298	PEL	48917663	48918298	636	4.45653	7.02203
X	48958643	48959773	+	ENSG00000288908	ENSG00000288908	lncRNA	subject	overlapping	48917663	48918298	PEL	48917663	48918298	636	4.45653	7.02203
X	48959179	48959282	-	ENSG00000223309	RNU6-722P	snRNA	subject	overlapping	48917663	48918298	PEL	48917663	48918298	636	4.45653	7.02203
X	48961378	48971844	-	ENSG00000102057	KCND1	protein_coding	subject	flanking	48917663	48918298	PEL	48917663	48918298	636	4.45653	7.02203
X	20769718	21374265	-	ENSG00000283380	ENSG00000283380	lncRNA	subject	flanking	21238560	21415833	PEL	21238560	21415833	177274	4.74106	8.81195
X	21214637	21214743	+	ENSG00000206716	RNU6-133P	snRNA	subject	overlapping	21238560	21415833	PEL	21238560	21415833	177274	4.74106	8.81195
X	21372801	21654695	+	ENSG00000149970	CNKSR2	protein_coding	subject	flanking	21238560	21415833	PEL	21238560	21415833	177274	4.74106	8.81195
X	21421822	21422294	-	ENSG00000231913	RARRES2P3	processed_pseudogene	subject	overlapping	21238560	21415833	PEL	21238560	21415833	177274	4.74106	8.81195
X	19343893	19361718	+	ENSG00000131828	PDHA1	protein_coding	subject	flanking	19287740	19301840	PEL	19287740	19301840	14101	5.87687	8.19456
X	19533977	19887600	-	ENSG00000147010	SH3KBP1	protein_coding	subject	flanking	19835640	19924848	PEL	19835640	19924848	89209	5.48638	6.43564
X	19912860	19991061	-	ENSG00000173681	BCLAF3	protein_coding	subject	flanking	19835640	19924848	PEL	19835640	19924848	89209	5.48638	6.43564
X	27977992	27981449	-	ENSG00000226372	DCAF8L1	protein_coding	subject	contained	27976726	27990367	PEL	27976726	27990367	13642	6.73874	6.09768
X	30558809	30577766	-	ENSG00000120280	TASL	protein_coding	subject	overlapping	30575707	30598218	PEL	30575707	30598218	22512	5.08966	6.1219
X	30617454	30617693	+	ENSG00000178556	CKS1BP6	processed_pseudogene	subject	overlapping	30575707	30598218	PEL	30575707	30598218	22512	5.08966	6.1219
X	30630298	30630825	+	ENSG00000232368	FTLP2	processed_pseudogene	subject	overlapping	30575707	30598218	PEL	30575707	30598218	22512	5.08966	6.1219
X	151497726	151498354	+	ENSG00000270052	ENSG00000270052	lncRNA	subject	overlapping	151491745	151496235	PEL	151491745	151496235	4491	4.47356	5.69178
X	151515551	151516245	+	ENSG00000214915	ENSG00000214915	lncRNA	subject	overlapping	151491745	151496235	PEL	151491745	151496235	4491	4.47356	5.69178
X	146537535	146538048	+	ENSG00000234748	ENSG00000234748	processed_pseudogene	subject	flanking	146485488	146487931	PEL	146485488	146487931	2444	4.42987	7.13132
X	122422006	122479732	+	ENSG00000287776	ENSG00000287776	lncRNA	subject	flanking	122517378	122712503	PEL	122517378	122712503	195126	6.27161	6.20334
X	122538253	122539460	+	ENSG00000232496	RPL3P12	processed_pseudogene	subject	contained	122517378	122712503	PEL	122517378	122712503	195126	6.27161	6.20334
X	128027322	129326707	-	ENSG00000225689	ENSG00000225689	lncRNA	subject	contains_region	128579443	128598575	PEL	128579443	128598575	19133	5.48567	7.7372
X	104566199	105767829	+	ENSG00000189108	IL1RAPL2	protein_coding	subject	contains_region	105708824	105747533	PEL	105708824	105747533	38710	6.40213	5.7948
X	105676071	105676177	-	ENSG00000206864	RNU6-207P	snRNA	subject	overlapping	105708824	105747533	PEL	105708824	105747533	38710	6.40213	5.7948
X	109535781	109544698	+	ENSG00000101888	NXT2	protein_coding	subject	overlapping	109536514	109579698	PEL	109536514	109579698	43185	4.72471	7.4835
X	109568478	109570289	+	ENSG00000233874	MFN1P1	processed_pseudogene	subject	contained	109536514	109579698	PEL	109536514	109579698	43185	4.72471	7.4835
X	109623700	109625172	-	ENSG00000176076	KCNE5	protein_coding	subject	overlapping	109536514	109579698	PEL	109536514	109579698	43185	4.72471	7.4835
X	109624244	109733403	-	ENSG00000068366	ACSL4	protein_coding	subject	flanking	109536514	109579698	PEL	109536514	109579698	43185	4.72471	7.4835
X	110472692	110524320	+	ENSG00000287685	ENSG00000287685	lncRNA	subject	contains_region	110506507	110512580	PEL	110506507	110512580	6074	4.6259	7.77643
X	110520896	110523021	+	ENSG00000225366	TDGF1P3	protein_coding	subject	overlapping	110506507	110512580	PEL	110506507	110512580	6074	4.6259	7.77643
X	111665811	111760649	+	ENSG00000101901	ALG13	protein_coding	subject	flanking	111794164	111804568	PEL	111794164	111804568	10405	6.57384	7.62144
X	111768011	112082776	-	ENSG00000072315	TRPC5	protein_coding	subject	contains_region	111794164	111804568	PEL	111794164	111804568	10405	6.57384	7.62144
X	112083016	112457514	+	ENSG00000187823	RTL4	protein_coding	subject	contains_region	112090661	112117692	PEL	112090661	112117692	27032	4.42917	7.62144
X	114584078	114910061	+	ENSG00000147246	HTR2C	protein_coding	subject	contains_region	114880089	114889301	PEL	114880089	114889301	9213	6.3111	7.7372
X	114900359	114900574	-	ENSG00000270413	ENSG00000270413	processed_pseudogene	subject	overlapping	114880089	114889301	PEL	114880089	114889301	9213	6.3111	7.7372
X	115561174	115650861	+	ENSG00000102024	PLS3	protein_coding	subject	flanking	115682738	115682738	PEL	115682738	115682738	1	6.26805	5.6544
X	115659713	115660022	+	ENSG00000270431	PHF5AP4	processed_pseudogene	subject	overlapping	115682738	115682738	PEL	115682738	115682738	1	6.26805	5.6544
X	115664895	115666133	+	ENSG00000227881	ASS1P5	processed_pseudogene	subject	overlapping	115682738	115682738	PEL	115682738	115682738	1	6.26805	5.6544
X	115694880	115969148	-	ENSG00000235244	DANT2	lncRNA	subject	flanking	115682738	115682738	PEL	115682738	115682738	1	6.26805	5.6544
X	115702811	115704120	+	ENSG00000234785	EEF1GP5	processed_pseudogene	subject	overlapping	115682738	115682738	PEL	115682738	115682738	1	6.26805	5.6544
X	115718942	115719229	-	ENSG00000228532	SUMO2P21	processed_pseudogene	subject	overlapping	115682738	115682738	PEL	115682738	115682738	1	6.26805	5.6544
X	117894632	117895683	-	ENSG00000279587	ENSG00000279587	TEC	subject	contained	117894526	117991846	PEL	117894526	117991846	97321	4.30476	6.77113
X	117897813	118117340	-	ENSG00000003096	KLHL13	protein_coding	subject	flanking	117894526	117991846	PEL	117894526	117991846	97321	4.30476	6.77113
X	117914244	117914345	-	ENSG00000200291	Y_RNA	misc_RNA	subject	contained	117894526	117991846	PEL	117894526	117991846	97321	4.30476	6.77113
X	90597235	90597340	-	ENSG00000207515	RNU6-555P	snRNA	subject	overlapping	90617797	90617881	PEL	90617797	90617881	85	5.06655	5.84969
X	67544021	67730619	+	ENSG00000169083	AR	protein_coding	subject	contains_region	67608543	67661741	PEL	67608543	67661741	53199	5.69559	6.47442
X	37349309	37457292	+	ENSG00000130962	PRRG1	protein_coding	subject	contains_region	37393601	37397977	PUR	37393601	37397977	4377	5.17158	5.06758
X	37349330	38687674	+	ENSG00000250349	ENSG00000250349	protein_coding	subject	contains_region	37393601	37397977	PUR	37393601	37397977	4377	5.17158	5.06758
X	37441523	37442068	+	ENSG00000241607	ENSG00000241607	unprocessed_pseudogene	subject	overlapping	37393601	37397977	PUR	37393601	37397977	4377	5.17158	5.06758
X	18425583	18653629	+	ENSG00000008086	CDKL5	protein_coding	subject	contains_region	18551559	18551559	PUR	18551559	18551559	1	4.30703	7.62598
X	18535079	18536120	+	ENSG00000236187	GJA6P	processed_pseudogene	subject	overlapping	18551559	18551559	PUR	18551559	18551559	1	4.30703	7.62598
X	44873188	45112779	+	ENSG00000147050	KDM6A	protein_coding	escape	contains_region	44958505	44958505	PUR	44958505	44958505	1	5.76072	5.9449
X	129779949	129795201	+	ENSG00000122122	SASH3	protein_coding	subject	overlapping	129819917	129819917	PUR	129819917	129819917	1	4.93823	6.52368
X	129794994	129796963	+	ENSG00000240143	ENSG00000240143	lncRNA	subject	overlapping	129819917	129819917	PUR	129819917	129819917	1	4.93823	6.52368
X	129796491	129796783	-	ENSG00000275070	Metazoa_SRP	misc_RNA	subject	overlapping	129819917	129819917	PUR	129819917	129819917	1	4.93823	6.52368
X	129803288	129843909	-	ENSG00000188706	ZDHHC9	protein_coding	subject	contains_region	129819917	129819917	PUR	129819917	129819917	1	4.93823	6.52368
X	129869064	129957528	-	ENSG00000235189	ENSG00000235189	lncRNA	subject	flanking	129819917	129819917	PUR	129819917	129819917	1	4.93823	6.52368
X	140397062	140398311	+	ENSG00000224942	EEDP1	processed_pseudogene	subject	contained	140299233	140423682	PUR	140299233	140423682	124450	4.8142	7.83223
X	140451148	140451208	+	ENSG00000275268	U7	snRNA	subject	overlapping	140299233	140423682	PUR	140299233	140423682	124450	4.8142	7.83223
X	140470866	140471274	-	ENSG00000225758	RPS17P17	processed_pseudogene	subject	overlapping	140299233	140423682	PUR	140299233	140423682	124450	4.8142	7.83223
X	73223124	73223558	+	ENSG00000230311	TOMM20P4	processed_pseudogene	subject	overlapping	73269591	73272512	PUR	73269591	73272512	2922	4.9258	5.68992
X	73237647	73238709	-	ENSG00000237014	LRRFIP2P1	processed_pseudogene	subject	overlapping	73269591	73272512	PUR	73269591	73272512	2922	4.9258	5.68992
X	73274785	73275515	+	ENSG00000225664	YWHAZP8	processed_pseudogene	subject	overlapping	73269591	73272512	PUR	73269591	73272512	2922	4.9258	5.68992
X	119236245	119244466	+	ENSG00000101856	PGRMC1	protein_coding	subject	flanking	119293215	119297238	PUR	119293215	119297238	4024	4.89444	7.50635
X	119249346	119257667	-	ENSG00000214992	AKAP17BP	unprocessed_pseudogene	subject	overlapping	119293215	119297238	PUR	119293215	119297238	4024	4.89444	7.50635
X	119291529	119335610	+	ENSG00000230392	ENSG00000230392	lncRNA	subject	contains_region	119293215	119297238	PUR	119293215	119297238	4024	4.89444	7.50635
X	96127747	96372889	-	ENSG00000286523	ENSG00000286523	lncRNA	subject	contains_region	96260067	96264122	PUR	96260067	96264122	4056	6.29302	5.29363
X	90597235	90597340	-	ENSG00000207515	RNU6-555P	snRNA	subject	overlapping	90617400	90617881	PUR	90617400	90617881	482	4.61508	6.05611
X	97847263	97849017	+	ENSG00000233887	ENSG00000233887	processed_pseudogene	subject	overlapping	97797256	97833845	YRI	97797256	97833845	36590	5.67064	6.61031
