ihs_cluster_id	ihs_cluster_start	ihs_cluster_end	ihs_cluster_size	ihs_cluster_max_score	relate_cluster_id	relate_cluster_start	relate_cluster_end	relate_cluster_size	relate_cluster_max_score	overlap_start	overlap_end	overlap_size_bp	center_distance	population	n_genes_total	n_genes_protein_coding	n_genes_x_escapees	gene_names_all	gene_names_protein_coding	gene_names_x_escapees
46	97461099	97466478	2	4.82392	16	97402463	97531203	3	5.80376	97461099	97466478	5380	54919.5	GWD	2	1	0	DIAPH2,DIAPH2-AS1	DIAPH2	None
121	53353479	53408840	5	5.13597	7	53404752	53404752	1	5.79274	53404752	53404752	1	3087.0	GWD	5	3	0	SMC1A,MIR6857,RIBC1,HSD17B10,ENSG00000233250	SMC1A,RIBC1,HSD17B10	None
163	31141642	31152906	9	7.25722	11	31146158	31146158	1	5.49049	31146158	31146158	1	1453.0	GWD	1	1	0	DMD	DMD	None
17	147600746	147828892	13	6.83215	10	147622419	147678429	2	5.17925	147622419	147678429	56011	47588.0	IBS	1	0	0	ENSG00000228855	None	None
30	139830211	139857791	14	6.67105	8	139731348	139853341	3	5.53252	139830211	139853341	23131	1150.5	IBS	2	1	0	ATP11C,RNU6ATAC23P	ATP11C	None
97	112092473	112092473	1	4.1446	15	112068105	112120218	3	5.75309	112092473	112092473	1	27733.0	IBS	2	2	0	TRPC5,RTL4	TRPC5,RTL4	None
115	32166624	32332413	2	6.76017	21	32298429	32298429	1	5.10996	32298429	32298429	1	48910.5	IBS	1	1	0	DMD	DMD	None
145	6560514	6560514	1	4.86511	34	6492865	6560514	8	6.40367	6560514	6560514	1	20990.5	IBS	1	1	0	VCX3A	VCX3A	None
98	142119136	142120223	2	4.07528	1	142111497	142175865	2	5.61967	142119136	142120223	1088	24001.5	JPT	2	0	0	ENSG00000288098,ENSG00000236205	None	None
19	146344544	146489384	58	5.73443	8	146458610	146458610	1	5.21292	146458610	146458610	1	25574.0	LWK	1	0	0	RNA5SP517	None	None
138	33261627	33442413	4	6.13284	7	33329689	33329689	1	7.33452	33329689	33329689	1	11065.0	MSL	1	1	0	DMD	DMD	None
139	33844583	34198282	14	5.12569	8	34008902	34008902	1	5.11282	34008902	34008902	1	156909.5	MSL	1	0	0	ENSG00000233928	None	None
6	140323271	140429391	7	7.80761	32	140263876	140456737	44	6.60767	140323271	140429391	106121	7962.0	MXL	3	0	0	EEDP1,U7,RPS17P17	None	None
99	44899537	45088893	79	4.79484	6	44821747	44937468	5	6.09409	44899537	44937468	37932	123773.0	MXL	1	1	1	KDM6A	KDM6A	KDM6A
14	51292838	51295219	2	4.33708	43	50741219	51416063	44	7.50558	51292838	51295219	2382	224702.0	PEL	3	1	0	ENSG00000229151,ENSG00000287767,NUDT10	NUDT10	None
21	45321561	45322474	3	4.46778	47	45321561	45322474	3	5.52913	45321561	45322474	914	0.0	PEL	1	0	0	ENSG00000229491	None	None
22	44941269	45093381	20	5.98004	49	44817514	44958505	7	6.1219	44941269	44958505	17237	117764.0	PEL	1	1	1	KDM6A	KDM6A	KDM6A
28	48916279	48918298	4	4.45653	40	48917663	48994855	7	7.02203	48917663	48918298	636	60650.5	PEL	9	6	0	PQBP1,TIMM17B,SLC35A2,PIM2,OTUD5,ENSG00000279155,ENSG00000288908,RNU6-722P,KCND1	PQBP1,TIMM17B,SLC35A2,PIM2,OTUD5,KCND1	None
34	21238560	21415833	2	4.74106	18	21148027	21695333	24	8.81195	21238560	21415833	177274	56937.0	PEL	4	1	0	ENSG00000283380,RNU6-133P,CNKSR2,RARRES2P3	CNKSR2	None
35	19287740	19301840	4	5.87687	17	18888601	19615047	46	8.19456	19287740	19301840	14101	40732.0	PEL	1	1	0	PDHA1	PDHA1	None
36	19835640	20031533	5	5.48638	16	19832670	19924848	7	6.43564	19835640	19924848	89209	113102.0	PEL	2	2	0	SH3KBP1,BCLAF3	SH3KBP1,BCLAF3	None
37	20542448	20542448	1	4.19853	19	20325700	20823989	31	7.98607	20542448	20542448	1	134091.0	PEL	0	0	0	None	None	None
45	27976726	28133816	5	6.73874	30	27830913	27990367	7	6.09768	27976726	27990367	13642	102879.0	PEL	1	1	0	DCAF8L1	DCAF8L1	None
50	30575707	30692068	9	5.08966	31	30555616	30598218	2	6.1219	30575707	30598218	22512	100907.0	PEL	3	1	0	TASL,CKS1BP6,FTLP2	TASL	None
64	151491745	151496235	4	4.47356	100	151448768	151747830	7	5.69178	151491745	151496235	4491	71499.0	PEL	2	0	0	ENSG00000270052,ENSG00000214915	None	None
69	144380279	144736662	14	6.1916	99	144556440	144556440	1	5.0963	144556440	144556440	1	178319.0	PEL	0	0	0	None	None	None
72	146485488	146487931	4	4.42987	107	146221182	147040332	36	7.13132	146485488	146487931	2444	45904.5	PEL	1	0	0	ENSG00000234748	None	None
86	122517378	122712503	48	6.27161	73	122377828	122830899	8	6.20334	122517378	122712503	195126	103126.0	PEL	2	0	0	ENSG00000287776,RPL3P12	None	None
95	128579443	128598575	7	5.48567	110	128516110	128940397	24	7.7372	128579443	128598575	19133	279449.0	PEL	1	0	0	ENSG00000225689	None	None
108	99263013	99367570	7	5.26401	70	99196243	99696542	9	6.98213	99263013	99367570	104558	113275.0	PEL	0	0	0	None	None	None
118	105656983	105747533	3	6.40213	74	105708824	105786667	3	5.7948	105708824	105747533	38710	51242.0	PEL	2	1	0	IL1RAPL2,RNU6-207P	IL1RAPL2	None
125	109521334	109579698	3	4.72471	90	109536514	109908303	14	7.4835	109536514	109579698	43185	261742.5	PEL	4	3	0	NXT2,MFN1P1,KCNE5,ACSL4	NXT2,KCNE5,ACSL4	None
126	110506507	110512580	4	4.6259	92	110375080	111272453	57	7.77643	110506507	110512580	6074	413359.0	PEL	2	1	0	ENSG00000287685,TDGF1P3	TDGF1P3	None
128	111794164	111804568	5	6.57384	91	111707814	112162177	21	7.62144	111794164	111804568	10405	121563.0	PEL	2	2	0	ALG13,TRPC5	ALG13,TRPC5	None
129	112090661	112117692	10	4.42917	91	111707814	112162177	21	7.62144	112090661	112117692	27032	190326.5	PEL	2	2	0	TRPC5,RTL4	TRPC5,RTL4	None
132	114880089	114889301	7	6.3111	84	114693637	115052888	78	7.7372	114880089	114889301	9213	21092.5	PEL	2	1	0	HTR2C,ENSG00000270413	HTR2C	None
133	115396153	115706291	12	6.26805	85	115682738	115682738	1	5.6544	115682738	115682738	1	123491.0	PEL	6	1	0	PLS3,PHF5AP4,ASS1P5,DANT2,EEF1GP5,SUMO2P21	PLS3	None
135	117779017	117991846	3	4.30476	80	117894526	118173763	55	6.77113	117894526	117991846	97321	80617.0	PEL	3	1	0	ENSG00000279587,KLHL13,Y_RNA	KLHL13	None
147	90583797	90962380	10	5.06655	57	90617797	90617881	2	5.84969	90617797	90617881	85	136913.5	PEL	1	0	0	RNU6-555P	None	None
167	67608543	67661741	2	5.69559	119	67519774	67857316	5	6.47442	67608543	67661741	53199	16233.0	PEL	1	1	0	AR	AR	None
16	37393157	37397977	3	5.17158	31	37393601	37416956	8	5.06758	37393601	37397977	4377	11622.0	PUR	3	2	0	PRRG1,ENSG00000250349,ENSG00000241607	PRRG1,ENSG00000250349	None
21	18551559	18551559	1	4.30703	7	18447669	18648646	3	7.62598	18551559	18551559	1	22430.0	PUR	2	1	0	CDKL5,GJA6P	CDKL5	None
44	44942038	45079501	15	5.76072	44	44958505	44958505	1	5.9449	44958505	44958505	1	324.0	PUR	1	1	1	KDM6A	KDM6A	KDM6A
48	129819917	129819917	1	4.93823	76	129804982	130017757	3	6.52368	129819917	129819917	1	68365.0	PUR	5	2	0	SASH3,ENSG00000240143,Metazoa_SRP,ZDHHC9,ENSG00000235189	SASH3,ZDHHC9	None
58	140299233	140423682	5	4.8142	109	140278965	140629194	24	7.83223	140299233	140423682	124450	121551.5	PUR	3	0	0	EEDP1,U7,RPS17P17	None	None
74	73236957	73272512	18	4.9258	53	73269591	73594935	5	5.68992	73269591	73272512	2922	25683.5	PUR	3	0	0	TOMM20P4,LRRFIP2P1,YWHAZP8	None	None
84	119293215	119297238	4	4.89444	59	119098000	119301818	9	7.50635	119293215	119297238	4024	181838.0	PUR	3	1	0	PGRMC1,AKAP17BP,ENSG00000230392	PGRMC1	None
103	96260067	96327577	11	6.29302	117	96070429	96264122	2	5.29363	96260067	96264122	4056	98327.5	PUR	1	0	0	ENSG00000286523	None	None
105	95379027	95390766	6	4.70335	116	95327967	95675208	54	8.38231	95379027	95390766	11740	134104.0	PUR	0	0	0	None	None	None
110	90511761	90705199	3	4.61508	126	90617400	90617881	3	6.05611	90617400	90617881	482	74627.0	PUR	1	0	0	RNU6-555P	None	None
131	99263013	99367020	7	5.14795	118	99241359	99580984	13	6.97847	99263013	99367020	104008	78864.0	PUR	0	0	0	None	None	None
60	81968091	82167219	2	4.52042	15	82138311	82203456	5	5.40987	82138311	82167219	28909	71112.0	YRI	0	0	0	None	None	None
82	97483258	97924867	8	5.67064	8	97797256	97833845	3	6.61031	97797256	97833845	36590	128711.0	YRI	1	0	0	ENSG00000233887	None	None
159	35517460	35543063	9	4.67664	30	35235002	35529847	9	6.19175	35517460	35529847	12388	137662.0	YRI	0	0	0	None	None	None
