gene_name	gene_id	subpopulations	n_subpopulations	gene_type	x_inactivation_status	gene_start	gene_end	strand
ENSG00000214915	ENSG00000214915	PEL	1	lncRNA	subject	151515551	151516245	+
ENSG00000225689	ENSG00000225689	PEL	1	lncRNA	subject	128027322	129326707	-
ENSG00000228855	ENSG00000228855	CLM	1	processed_pseudogene	subject	147591612	147591909	-
ENSG00000229151	ENSG00000229151	PEL	1	lncRNA	subject	51190598	51396505	-
ENSG00000229491	ENSG00000229491	PEL	1	lncRNA	subject	45183251	45333917	+
ENSG00000234748	ENSG00000234748	PEL	1	processed_pseudogene	subject	146537535	146538048	+
ENSG00000235189	ENSG00000235189	PUR	1	lncRNA	subject	129869064	129957528	-
ENSG00000240143	ENSG00000240143	PUR	1	lncRNA	subject	129794994	129796963	+
ENSG00000241607	ENSG00000241607	PUR	1	unprocessed_pseudogene	subject	37441523	37442068	+
ENSG00000250349	ENSG00000250349	PUR	1	protein_coding	subject	37349330	38687674	+
ENSG00000270052	ENSG00000270052	PEL	1	lncRNA	subject	151497726	151498354	+
ENSG00000270413	ENSG00000270413	PEL	1	processed_pseudogene	subject	114900359	114900574	-
ENSG00000279155	ENSG00000279155	PEL	1	TEC	subject	48939992	48940808	+
ENSG00000279587	ENSG00000279587	PEL	1	TEC	subject	117894632	117895683	-
ENSG00000286523	ENSG00000286523	PUR	1	lncRNA	subject	96127747	96372889	-
ENSG00000287685	ENSG00000287685	PEL	1	lncRNA	subject	110472692	110524320	+
ENSG00000287767	ENSG00000287767	PEL	1	lncRNA	subject	51325790	51330662	+
ENSG00000288908	ENSG00000288908	PEL	1	lncRNA	subject	48958643	48959773	+
GJA6P	ENSG00000236187	PUR	1	processed_pseudogene	subject	18535079	18536120	+
HTR2C	ENSG00000147246	PEL	1	protein_coding	subject	114584078	114910061	+
IL1RAPL2	ENSG00000189108	PEL	1	protein_coding	subject	104566199	105767829	+
KCND1	ENSG00000102057	PEL	1	protein_coding	subject	48961378	48971844	-
KCNE5	ENSG00000176076	PEL	1	protein_coding	subject	109623700	109625172	-
KLHL13	ENSG00000003096	PEL	1	protein_coding	subject	117897813	118117340	-
LRRFIP2P1	ENSG00000237014	PUR	1	processed_pseudogene	subject	73237647	73238709	-
MFN1P1	ENSG00000233874	PEL	1	processed_pseudogene	subject	109568478	109570289	+
MID2	ENSG00000080561	CLM	1	protein_coding	subject	107825755	107931637	+
Metazoa_SRP	ENSG00000275070	PUR	1	misc_RNA	subject	129796491	129796783	-
NCBP2L	ENSG00000170935	CLM	1	protein_coding	subject	107774899	107795829	+
NUDT10	ENSG00000122824	PEL	1	protein_coding	subject	51332231	51337525	+
NXT2	ENSG00000101888	PEL	1	protein_coding	subject	109535781	109544698	+
OTUD5	ENSG00000068308	PEL	1	protein_coding	subject	48922024	48958386	-
PDHA1	ENSG00000131828	PEL	1	protein_coding	subject	19343893	19361718	+
PGRMC1	ENSG00000101856	PUR	1	protein_coding	subject	119236245	119244466	+
PHF5AP4	ENSG00000270431	PEL	1	processed_pseudogene	subject	115659713	115660022	+
PIM2	ENSG00000102096	PEL	1	protein_coding	subject	48913182	48919024	-
PLS3	ENSG00000102024	PEL	1	protein_coding	subject	115561174	115650861	+
PQBP1	ENSG00000102103	PEL	1	protein_coding	subject	48890197	48903402	+
PRRG1	ENSG00000130962	PUR	1	protein_coding	subject	37349309	37457292	+
RARRES2P3	ENSG00000231913	PEL	1	processed_pseudogene	subject	21421822	21422294	-
RNU6-207P	ENSG00000206864	PEL	1	snRNA	subject	105676071	105676177	-
RNU6-722P	ENSG00000223309	PEL	1	snRNA	subject	48959179	48959282	-
RPL3P12	ENSG00000232496	PEL	1	processed_pseudogene	subject	122538253	122539460	+
RTL4	ENSG00000187823	PEL	1	protein_coding	subject	112083016	112457514	+
SASH3	ENSG00000122122	PUR	1	protein_coding	subject	129779949	129795201	+
SERBP1P1	ENSG00000213740	CLM	1	processed_pseudogene	subject	68783472	68785066	+
SH3KBP1	ENSG00000147010	PEL	1	protein_coding	subject	19533977	19887600	-
SLC35A2	ENSG00000102100	PEL	1	protein_coding	subject	48903180	48911958	-
SUMO2P21	ENSG00000228532	PEL	1	processed_pseudogene	subject	115718942	115719229	-
TDGF1P3	ENSG00000225366	PEL	1	protein_coding	subject	110520896	110523021	+
TIMM17B	ENSG00000126768	PEL	1	protein_coding	subject	48893447	48898143	-
TOMM20P4	ENSG00000230311	PUR	1	processed_pseudogene	subject	73223124	73223558	+
TRPC5	ENSG00000072315	PEL	1	protein_coding	subject	111768011	112082776	-
TSC22D3	ENSG00000157514	CLM	1	protein_coding	subject	107713221	107777342	-
YWHAZP8	ENSG00000225664	PUR	1	processed_pseudogene	subject	73274785	73275515	+
Y_RNA	ENSG00000200291	PEL	1	misc_RNA	subject	117914244	117914345	-
ZDHHC9	ENSG00000188706	PUR	1	protein_coding	subject	129803288	129843909	-
