chr	gene_start	gene_end	strand	gene_id	gene_name	gene_type	x_inactivation_status	overlap_type	region_start	region_end	population	overlap_start	overlap_end	overlap_size_bp	ihs_max_score	relate_max_score
X	112083016	112457514	+	ENSG00000187823	RTL4	protein_coding	subject	contains_region	112092473	112092473	IBS	112092473	112092473	1	4.1446	5.75309
X	31097677	33339609	-	ENSG00000198947	DMD	protein_coding	subject	contains_region	32298429	32298429	IBS	32298429	32298429	1	6.76017	5.10996
X	6533618	6535118	-	ENSG00000169059	VCX3A	protein_coding	subject	overlapping	6560514	6560514	IBS	6560514	6560514	1	4.86511	6.40367
X	31097677	33339609	-	ENSG00000198947	DMD	protein_coding	subject	contains_region	33329689	33329689	MSL	33329689	33329689	1	6.13284	7.33452
X	44873188	45112779	+	ENSG00000147050	KDM6A	protein_coding	escape	contains_region	44899537	44937468	MXL	44899537	44937468	37932	4.79484	6.09409
X	51332231	51337525	+	ENSG00000122824	NUDT10	protein_coding	subject	overlapping	51292838	51295219	PEL	51292838	51295219	2382	4.33708	7.50558
X	44873188	45112779	+	ENSG00000147050	KDM6A	protein_coding	escape	contains_region	44941269	44958505	PEL	44941269	44958505	17237	5.98004	6.1219
X	48890197	48903402	+	ENSG00000102103	PQBP1	protein_coding	subject	overlapping	48917663	48918298	PEL	48917663	48918298	636	4.45653	7.02203
X	48893447	48898143	-	ENSG00000126768	TIMM17B	protein_coding	subject	overlapping	48917663	48918298	PEL	48917663	48918298	636	4.45653	7.02203
X	48903180	48911958	-	ENSG00000102100	SLC35A2	protein_coding	subject	overlapping	48917663	48918298	PEL	48917663	48918298	636	4.45653	7.02203
X	48913182	48919024	-	ENSG00000102096	PIM2	protein_coding	subject	contains_region	48917663	48918298	PEL	48917663	48918298	636	4.45653	7.02203
X	48922024	48958386	-	ENSG00000068308	OTUD5	protein_coding	subject	overlapping	48917663	48918298	PEL	48917663	48918298	636	4.45653	7.02203
X	48961378	48971844	-	ENSG00000102057	KCND1	protein_coding	subject	flanking	48917663	48918298	PEL	48917663	48918298	636	4.45653	7.02203
X	21372801	21654695	+	ENSG00000149970	CNKSR2	protein_coding	subject	flanking	21238560	21415833	PEL	21238560	21415833	177274	4.74106	8.81195
X	19343893	19361718	+	ENSG00000131828	PDHA1	protein_coding	subject	flanking	19287740	19301840	PEL	19287740	19301840	14101	5.87687	8.19456
X	19533977	19887600	-	ENSG00000147010	SH3KBP1	protein_coding	subject	flanking	19835640	19924848	PEL	19835640	19924848	89209	5.48638	6.43564
X	19912860	19991061	-	ENSG00000173681	BCLAF3	protein_coding	subject	flanking	19835640	19924848	PEL	19835640	19924848	89209	5.48638	6.43564
X	27977992	27981449	-	ENSG00000226372	DCAF8L1	protein_coding	subject	contained	27976726	27990367	PEL	27976726	27990367	13642	6.73874	6.09768
X	30558809	30577766	-	ENSG00000120280	TASL	protein_coding	subject	overlapping	30575707	30598218	PEL	30575707	30598218	22512	5.08966	6.1219
X	104566199	105767829	+	ENSG00000189108	IL1RAPL2	protein_coding	subject	contains_region	105708824	105747533	PEL	105708824	105747533	38710	6.40213	5.7948
X	109535781	109544698	+	ENSG00000101888	NXT2	protein_coding	subject	overlapping	109536514	109579698	PEL	109536514	109579698	43185	4.72471	7.4835
X	109623700	109625172	-	ENSG00000176076	KCNE5	protein_coding	subject	overlapping	109536514	109579698	PEL	109536514	109579698	43185	4.72471	7.4835
X	109624244	109733403	-	ENSG00000068366	ACSL4	protein_coding	subject	flanking	109536514	109579698	PEL	109536514	109579698	43185	4.72471	7.4835
X	110520896	110523021	+	ENSG00000225366	TDGF1P3	protein_coding	subject	overlapping	110506507	110512580	PEL	110506507	110512580	6074	4.6259	7.77643
X	111665811	111760649	+	ENSG00000101901	ALG13	protein_coding	subject	flanking	111794164	111804568	PEL	111794164	111804568	10405	6.57384	7.62144
X	111768011	112082776	-	ENSG00000072315	TRPC5	protein_coding	subject	contains_region	111794164	111804568	PEL	111794164	111804568	10405	6.57384	7.62144
X	112083016	112457514	+	ENSG00000187823	RTL4	protein_coding	subject	contains_region	112090661	112117692	PEL	112090661	112117692	27032	4.42917	7.62144
X	114584078	114910061	+	ENSG00000147246	HTR2C	protein_coding	subject	contains_region	114880089	114889301	PEL	114880089	114889301	9213	6.3111	7.7372
X	115561174	115650861	+	ENSG00000102024	PLS3	protein_coding	subject	flanking	115682738	115682738	PEL	115682738	115682738	1	6.26805	5.6544
X	117897813	118117340	-	ENSG00000003096	KLHL13	protein_coding	subject	flanking	117894526	117991846	PEL	117894526	117991846	97321	4.30476	6.77113
X	67544021	67730619	+	ENSG00000169083	AR	protein_coding	subject	contains_region	67608543	67661741	PEL	67608543	67661741	53199	5.69559	6.47442
X	37349309	37457292	+	ENSG00000130962	PRRG1	protein_coding	subject	contains_region	37393601	37397977	PUR	37393601	37397977	4377	5.17158	5.06758
X	37349330	38687674	+	ENSG00000250349	ENSG00000250349	protein_coding	subject	contains_region	37393601	37397977	PUR	37393601	37397977	4377	5.17158	5.06758
X	18425583	18653629	+	ENSG00000008086	CDKL5	protein_coding	subject	contains_region	18551559	18551559	PUR	18551559	18551559	1	4.30703	7.62598
X	44873188	45112779	+	ENSG00000147050	KDM6A	protein_coding	escape	contains_region	44958505	44958505	PUR	44958505	44958505	1	5.76072	5.9449
X	129779949	129795201	+	ENSG00000122122	SASH3	protein_coding	subject	overlapping	129819917	129819917	PUR	129819917	129819917	1	4.93823	6.52368
X	129803288	129843909	-	ENSG00000188706	ZDHHC9	protein_coding	subject	contains_region	129819917	129819917	PUR	129819917	129819917	1	4.93823	6.52368
X	119236245	119244466	+	ENSG00000101856	PGRMC1	protein_coding	subject	flanking	119293215	119297238	PUR	119293215	119297238	4024	4.89444	7.50635
