GO_ID	GO_Name	GO_Category	Enrichment	p_uncorrected	p_fdr_bh	Study_Count	Study_Total	Pop_Count	Pop_Total	Study_Genes	Depth
GO:0036035	osteoclast development	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	ATP6AP1	6
GO:0016811	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FAAH2	4
GO:0042805	actinin binding	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TRPC5	4
GO:0015370	solute:sodium symporter activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	SLC10A3	7
GO:0030594	neurotransmitter receptor activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	HTR2C	3
GO:0017064	fatty acid amide hydrolase activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FAAH2	5
GO:0005262	calcium channel activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TRPC5	7
GO:0004993	G protein-coupled serotonin receptor activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	HTR2C	6
GO:0004802	transketolase activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TKTL1	4
GO:0170055	lipid transmembrane transporter activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	SLC10A3	3
GO:0015081	sodium ion transmembrane transporter activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	SLC10A3	6
GO:0004896	cytokine receptor activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	IL1RAPL2	4
GO:0004519	endonuclease activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	DNASE1L1	4
GO:0001671	ATPase activator activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	ATP6AP1	3
GO:0004577	N-acetylglucosaminyldiphosphodolichol N-acetylglucosaminyltransferase activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	ALG13	6
GO:0015355	secondary active monocarboxylate transmembrane transporter activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	SLC10A3	5
GO:0046943	carboxylic acid transmembrane transporter activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	SLC10A3	3
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FAM3A	10
GO:0004536	DNA nuclease activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	DNASE1L1	4
GO:0030276	clathrin binding	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TRPC5	3
GO:0001587	Gq/11-coupled serotonin receptor activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	HTR2C	7
GO:0050997	quaternary ammonium group binding	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TKTL1	3
GO:0030976	thiamine pyrophosphate binding	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TKTL1	5
GO:0015293	symporter activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	SLC10A3	5
GO:0015125	bile acid transmembrane transporter activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	SLC10A3	5
GO:0008227	G protein-coupled amine receptor activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	HTR2C	5
GO:0042171	lysophosphatidic acid acyltransferase activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TAFAZZIN	6
GO:0008375	acetylglucosaminyltransferase activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	ALG13	5
GO:0015026	coreceptor activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	GPC4	3
GO:0048487	beta-tubulin binding	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	EMD	5
GO:0016755	aminoacyltransferase activity	MF	e	0.11342651718753903	0.8173913043478261	2	28	5	230	MID2,UBL4A	4
GO:0019787	ubiquitin-like protein transferase activity	MF	e	0.11342651718753903	0.8173913043478261	2	28	5	230	MID2,UBL4A	5
GO:0045296	cadherin binding	MF	e	0.0735674851631437	0.8173913043478261	2	28	4	230	EMD,FLNA	4
GO:0050848	regulation of calcium-mediated signaling	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	HTR2C	7
GO:0045048	protein insertion into ER membrane	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	UBL4A	6
GO:2001044	regulation of integrin-mediated signaling pathway	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FLNA	6
GO:2001222	regulation of neuron migration	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FLNA	6
GO:1905034	regulation of antifungal innate immune response	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FAM3A	7
GO:0032526	response to retinoic acid	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	SLC10A3	4
GO:0046782	regulation of viral transcription	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	MID2	4
GO:2000050	regulation of non-canonical Wnt signaling pathway	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	GPC3	7
GO:0035821	modulation of process of another organism	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	MID2	2
GO:0051222	positive regulation of protein transport	BP	e	0.0397869555224686	0.8173913043478261	2	28	3	230	EMD,FLNA	7
GO:0045047	protein targeting to ER	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	UBL4A	6
GO:0030810	positive regulation of nucleotide biosynthetic process	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TAFAZZIN	9
GO:0007417	central nervous system development	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	IL1RAPL2	4
GO:0035116	embryonic hindlimb morphogenesis	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	GPC3	6
GO:2000179	positive regulation of neural precursor cell proliferation	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FLNA	6
GO:0030517	negative regulation of axon extension	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	PLXNA3	10
GO:0007042	lysosomal lumen acidification	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	ATP6AP1	10
GO:1905031	regulation of membrane repolarization during cardiac muscle cell action potential	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FLNA	6
GO:0035567	non-canonical Wnt signaling pathway	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	GPC3	7
GO:0051764	actin crosslink formation	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FLNA	6
GO:0021785	branchiomotor neuron axon guidance	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	PLXNA3	10
GO:0048846	axon extension involved in axon guidance	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	PLXNA3	6
GO:0007631	feeding behavior	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	HTR2C	3
GO:0002790	peptide secretion	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FAM3A	7
GO:0046825	regulation of protein export from nucleus	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	EMD	8
GO:0046365	monosaccharide catabolic process	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TKTL1	6
GO:0070782	phosphatidylserine exposure on apoptotic cell surface	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TRPC5	9
GO:0050832	defense response to fungus	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FAM3A	6
GO:0035965	cardiolipin acyl-chain remodeling	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TAFAZZIN	9
GO:2000035	regulation of stem cell division	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	NAP1L2	5
GO:0072180	mesonephric duct morphogenesis	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	GPC3	9
GO:0045292	mRNA cis splicing, via spliceosome	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	NCBP2L	10
GO:0007195	adenylate cyclase-inhibiting dopamine receptor signaling pathway	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FLNA	8
GO:0036296	response to increased oxygen levels	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	ATP6AP1	4
GO:0030808	regulation of nucleotide biosynthetic process	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TAFAZZIN	8
GO:0035601	protein deacylation	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FLNA	6
GO:0010513	positive regulation of phosphatidylinositol biosynthetic process	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	HTR2C	10
GO:0006690	icosanoid metabolic process	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FAAH2	7
GO:0035137	hindlimb morphogenesis	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	GPC3	5
GO:0051851	host-mediated perturbation of symbiont process	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	MID2	3
GO:0098751	bone cell development	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	ATP6AP1	4
GO:0033559	unsaturated fatty acid metabolic process	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FAAH2	9
GO:0090042	tubulin deacetylation	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FLNA	8
GO:0008154	actin polymerization or depolymerization	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	DIAPH2	6
GO:0044319	wound healing, spreading of cells	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FLNA	4
GO:0021603	cranial nerve formation	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	PLXNA3	3
GO:0021860	pyramidal neuron development	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	PLXNA3	7
GO:0006488	dolichol-linked oligosaccharide biosynthetic process	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	ALG13	5
GO:0048841	regulation of axon extension involved in axon guidance	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	PLXNA3	8
GO:0031267	small GTPase binding	MF	e	0.0008247517186221161	0.8173913043478261	4	28	5	230	ATP6AP1,DIAPH2,FLNA,GDI1	5
GO:0019732	antifungal humoral response	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FAM3A	8
GO:0006308	DNA catabolic process	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	DNASE1L1	7
GO:0060976	coronary vasculature development	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	GPC3	4
GO:0048843	negative regulation of axon extension involved in axon guidance	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	PLXNA3	11
GO:0050922	negative regulation of chemotaxis	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	PLXNA3	6
GO:0042074	cell migration involved in gastrulation	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	GPC3	5
GO:0050774	negative regulation of dendrite morphogenesis	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TRPC5	10
GO:0072178	nephric duct morphogenesis	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	GPC3	6
GO:0021856	hypothalamic tangential migration using cell-axon interactions	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	PLXNA3	5
GO:0009306	protein secretion	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FAM3A	6
GO:0071763	nuclear membrane organization	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	EMD	5
GO:1900544	positive regulation of purine nucleotide metabolic process	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TAFAZZIN	9
GO:0021628	olfactory nerve formation	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	PLXNA3	4
GO:0030513	positive regulation of BMP signaling pathway	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	GPC3	8
GO:0030041	actin filament polymerization	BP	e	0.12173913043478261	0.8173913043478261	1	28	1	230	DIAPH2	7
GO:0099512	supramolecular fiber	CC	e	0.05807723878572158	0.8173913043478261	4	28	13	230	DIAPH2,EMD,FLNA,MID2	4
GO:0045202	synapse	CC	e	0.07751737525531091	0.8173913043478261	5	28	20	230	ATP6AP1,FLNA,GPC4,HTR2C,IL1RAPL2	3
GO:0043005	neuron projection	CC	e	0.09297229887767787	0.8173913043478261	4	28	15	230	FLNA,GDI1,HTR2C,TRPC5	4
GO:1990351	transporter complex	CC	e	0.11342651718753903	0.8173913043478261	2	28	5	230	ATP6AP1,TRPC5	2
GO:0032991	protein-containing complex	CC	e	0.032822608810151754	0.8173913043478261	12	28	57	230	ALG13,ATP6AP1,FLNA,GDI1,HTR2C,KDM6A,LAGE3,NCBP2L,PLXNA3,RPL10,TRPC5,UBL4A	1
GO:0005775	vacuolar lumen	CC	e	0.0397869555224686	0.8173913043478261	2	28	3	230	GPC3,GPC4	5
GO:0005796	Golgi lumen	CC	e	0.0397869555224686	0.8173913043478261	2	28	3	230	GPC3,GPC4	5
GO:0043202	lysosomal lumen	CC	e	0.0397869555224686	0.8173913043478261	2	28	3	230	GPC3,GPC4	6
GO:0099081	supramolecular polymer	CC	e	0.05807723878572158	0.8173913043478261	4	28	13	230	DIAPH2,EMD,FLNA,MID2	3
GO:0005884	actin filament	CC	e	0.0735674851631437	0.8173913043478261	2	28	4	230	DIAPH2,FLNA	6
GO:0044297	cell body	CC	e	0.05971233107806009	0.8173913043478261	3	28	8	230	FLNA,GDI1,TRPC5	2
GO:0006811	monoatomic ion transport	BP	e	0.022235052660172377	0.8173913043478261	4	28	10	230	ATP6AP1,FLNA,HTR2C,TRPC5	4
GO:0016477	cell migration	BP	e	0.022235052660172377	0.8173913043478261	4	28	10	230	FLNA,GPC3,GPC4,PLXNA3	3
GO:0048638	regulation of developmental growth	BP	e	0.02529376860026483	0.8173913043478261	3	28	6	230	GDI1,PLXNA3,TRPC5	4
GO:0008152	metabolic process	BP	e	0.02660000966529086	0.8173913043478261	14	28	70	230	ALG13,DNASE1L1,EMD,FAAH2,FAM3A,FAM50A,FLNA,LAGE3,MID2,NCBP2L,RPL10,TAFAZZIN,TKTL1,UBL4A	2
GO:0007166	cell surface receptor signaling pathway	BP	e	0.03508635199830147	0.8173913043478261	6	28	22	230	FLNA,GDI1,GPC3,GPC4,IL1RAPL2,PLXNA3	5
GO:0032879	regulation of localization	BP	e	0.03508635199830147	0.8173913043478261	6	28	22	230	EMD,FLNA,GDI1,GPC3,GPC4,HTR2C	3
GO:0048856	anatomical structure development	BP	e	0.038234419110731686	0.8173913043478261	10	28	45	230	ATP6AP1,DIAPH2,EMD,FLNA,GPC3,IL1RAPL2,KDM6A,PLXNA3,RPL10,TRPC5	2
GO:1902495	transmembrane transporter complex	CC	e	0.0735674851631437	0.8173913043478261	2	28	4	230	ATP6AP1,TRPC5	3
GO:0043025	neuronal cell body	CC	e	0.05971233107806009	0.8173913043478261	3	28	8	230	FLNA,GDI1,TRPC5	3
GO:0009986	cell surface	CC	e	0.05971233107806009	0.8173913043478261	3	28	8	230	GPC3,GPC4,IL1RAPL2	2
GO:0030425	dendrite	CC	e	0.05971233107806009	0.8173913043478261	3	28	8	230	FLNA,HTR2C,TRPC5	5
GO:0072379	ER membrane insertion complex	CC	e	0.12173913043478261	0.8173913043478261	1	28	1	230	UBL4A	2
GO:0030658	transport vesicle membrane	CC	e	0.12173913043478261	0.8173913043478261	1	28	1	230	ATP6AP1	6
GO:0071782	endoplasmic reticulum tubular network	CC	e	0.12173913043478261	0.8173913043478261	1	28	1	230	EMD	4
GO:0160045	TMEM240-body	CC	e	0.12173913043478261	0.8173913043478261	1	28	1	230	EMD	5
GO:0005790	smooth endoplasmic reticulum	CC	e	0.12173913043478261	0.8173913043478261	1	28	1	230	RPL10	6
GO:0030662	coated vesicle membrane	CC	e	0.12173913043478261	0.8173913043478261	1	28	1	230	ATP6AP1	6
GO:0030426	growth cone	CC	e	0.11342651718753903	0.8173913043478261	2	28	5	230	FLNA,TRPC5	3
GO:0030427	site of polarized growth	CC	e	0.11342651718753903	0.8173913043478261	2	28	5	230	FLNA,TRPC5	2
GO:0035580	specific granule lumen	CC	e	0.12173913043478261	0.8173913043478261	1	28	1	230	DNASE1L1	7
GO:0034518	RNA cap binding complex	CC	e	0.12173913043478261	0.8173913043478261	1	28	1	230	NCBP2L	3
GO:0043198	dendritic shaft	CC	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FLNA	2
GO:0061515	myeloid cell development	BP	e	0.014353521928991836	0.8173913043478261	2	28	2	230	ATP6AP1,FLNA	5
GO:0072659	protein localization to plasma membrane	BP	e	0.0397869555224686	0.8173913043478261	2	28	3	230	ATP6AP1,FLNA	5
GO:1903829	positive regulation of protein localization	BP	e	0.0397869555224686	0.8173913043478261	2	28	3	230	EMD,FLNA	5
GO:1905606	regulation of presynapse assembly	BP	e	0.0397869555224686	0.8173913043478261	2	28	3	230	GPC4,IL1RAPL2	7
GO:0006006	glucose metabolic process	BP	e	0.0735674851631437	0.8173913043478261	2	28	4	230	FAM3A,TKTL1	7
GO:0099523	presynaptic cytosol	CC	e	0.12173913043478261	0.8173913043478261	1	28	1	230	GDI1	4
GO:0050771	negative regulation of axonogenesis	BP	e	0.0397869555224686	0.8173913043478261	2	28	3	230	GDI1,PLXNA3	9
GO:0006816	calcium ion transport	BP	e	0.013778937126550612	0.8173913043478261	3	28	5	230	FLNA,HTR2C,TRPC5	7
GO:0055082	intracellular chemical homeostasis	BP	e	0.013778937126550612	0.8173913043478261	3	28	5	230	ATP6AP1,HTR2C,TRPC5	3
GO:0098552	side of membrane	CC	e	0.02529376860026483	0.8173913043478261	3	28	6	230	ALG13,GPC3,GPC4	2
GO:0099513	polymeric cytoskeletal fiber	CC	e	0.022235052660172377	0.8173913043478261	4	28	10	230	DIAPH2,EMD,FLNA,MID2	5
GO:0098796	membrane protein complex	CC	e	0.022235052660172377	0.8173913043478261	4	28	10	230	ALG13,ATP6AP1,FLNA,TRPC5	2
GO:0043235	receptor complex	CC	e	0.006006425881793514	0.8173913043478261	3	28	4	230	FLNA,HTR2C,PLXNA3	2
GO:0005783	endoplasmic reticulum	CC	e	0.0015661344462934304	0.8173913043478261	7	28	17	230	ALG13,ATP6AP1,DIAPH2,DNASE1L1,EMD,GDI1,RPL10	5
GO:0030307	positive regulation of cell growth	BP	e	0.0397869555224686	0.8173913043478261	2	28	3	230	GDI1,TRPC5	6
GO:0097553	calcium ion transmembrane import into cytosol	BP	e	0.014353521928991836	0.8173913043478261	2	28	2	230	FLNA,HTR2C	9
GO:0030672	synaptic vesicle membrane	CC	e	0.12173913043478261	0.8173913043478261	1	28	1	230	ATP6AP1	8
GO:0046824	positive regulation of nucleocytoplasmic transport	BP	e	0.014353521928991836	0.8173913043478261	2	28	2	230	EMD,FLNA	7
GO:0050772	positive regulation of axonogenesis	BP	e	0.014353521928991836	0.8173913043478261	2	28	2	230	GDI1,TRPC5	9
GO:1903725	regulation of phospholipid metabolic process	BP	e	0.014353521928991836	0.8173913043478261	2	28	2	230	HTR2C,TAFAZZIN	7
GO:0045773	positive regulation of axon extension	BP	e	0.014353521928991836	0.8173913043478261	2	28	2	230	GDI1,TRPC5	10
GO:0030003	intracellular monoatomic cation homeostasis	BP	e	0.013778937126550612	0.8173913043478261	3	28	5	230	ATP6AP1,HTR2C,TRPC5	5
GO:0006873	intracellular monoatomic ion homeostasis	BP	e	0.013778937126550612	0.8173913043478261	3	28	5	230	ATP6AP1,HTR2C,TRPC5	4
GO:0006812	monoatomic cation transport	BP	e	0.014576208296843826	0.8173913043478261	4	28	9	230	ATP6AP1,FLNA,HTR2C,TRPC5	5
GO:0048878	chemical homeostasis	BP	e	0.014576208296843826	0.8173913043478261	4	28	9	230	ATP6AP1,FAM3A,HTR2C,TRPC5	2
GO:0051209	release of sequestered calcium ion into cytosol	BP	e	0.014353521928991836	0.8173913043478261	2	28	2	230	FLNA,HTR2C	10
GO:0051283	negative regulation of sequestering of calcium ion	BP	e	0.014353521928991836	0.8173913043478261	2	28	2	230	FLNA,HTR2C	5
GO:0046822	regulation of nucleocytoplasmic transport	BP	e	0.014353521928991836	0.8173913043478261	2	28	2	230	EMD,FLNA	6
GO:0006874	intracellular calcium ion homeostasis	BP	e	0.014353521928991836	0.8173913043478261	2	28	2	230	HTR2C,TRPC5	6
GO:0071526	semaphorin-plexin signaling pathway	BP	e	0.014353521928991836	0.8173913043478261	2	28	2	230	FLNA,PLXNA3	6
GO:1903727	positive regulation of phospholipid metabolic process	BP	e	0.014353521928991836	0.8173913043478261	2	28	2	230	HTR2C,TAFAZZIN	8
GO:0032502	developmental process	BP	e	0.039227024756246974	0.8173913043478261	12	28	60	230	ATP6AP1,DIAPH2,EMD,FAM50A,FLNA,GPC3,IL1RAPL2,KDM6A,NAP1L2,PLXNA3,RPL10,TRPC5	1
GO:0008028	monocarboxylic acid transmembrane transporter activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	SLC10A3	4
GO:0060422	peptidyl-dipeptidase inhibitor activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	GPC3	5
GO:0005092	GDP-dissociation inhibitor activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	GDI1	5
GO:0016744	transketolase or transaldolase activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TKTL1	3
GO:0008374	O-acyltransferase activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TAFAZZIN	5
GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FAAH2	3
GO:0071886	1-(4-iodo-2,5-dimethoxyphenyl)propan-2-amine binding	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	HTR2C	3
GO:0004908	interleukin-1 receptor activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	IL1RAPL2	5
GO:0034988	Fc-gamma receptor I complex binding	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FLNA	5
GO:0004910	interleukin-1, type II, blocking receptor activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	IL1RAPL2	6
GO:0034987	immunoglobulin receptor binding	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	FLNA	4
GO:0099589	serotonin receptor activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	HTR2C	4
GO:0003841	1-acylglycerol-3-phosphate O-acyltransferase activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TAFAZZIN	7
GO:0030414	peptidase inhibitor activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	GPC3	4
GO:0004530	deoxyribonuclease I activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	DNASE1L1	7
GO:0017154	semaphorin receptor activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	PLXNA3	4
GO:0034704	calcium channel complex	CC	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TRPC5	6
GO:0016888	DNA endonuclease activity, producing 5'-phosphomonoesters	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	DNASE1L1	6
GO:0140161	monocarboxylate:sodium symporter activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	SLC10A3	9
GO:0043178	alcohol binding	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TRPC5	3
GO:0016411	acylglycerol O-acyltransferase activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TAFAZZIN	6
GO:0070679	inositol 1,4,5 trisphosphate binding	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TRPC5	5
GO:0015279	store-operated calcium channel activity	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	TRPC5	8
GO:0051378	serotonin binding	MF	e	0.12173913043478261	0.8173913043478261	1	28	1	230	HTR2C	5
