Gene	GO_ID	GO_Name	GO_Category	Evidence	In_X_Selection	In_All_X
AGTR2	GO:0002033	angiotensin-mediated vasodilation involved in regulation of systemic arterial blood pressure	Process	IEA	True	True
AGTR2	GO:0002035	brain renin-angiotensin system	Process	IEA	True	True
AGTR2	GO:0004930	G protein-coupled receptor activity	Function	IEA	True	True
AGTR2	GO:0004945	angiotensin type II receptor activity	Function	IBA	True	True
AGTR2	GO:0004945	angiotensin type II receptor activity	Function	IDA	True	True
AGTR2	GO:0004945	angiotensin type II receptor activity	Function	IEA	True	True
AGTR2	GO:0004945	angiotensin type II receptor activity	Function	IPI	True	True
AGTR2	GO:0004945	angiotensin type II receptor activity	Function	TAS	True	True
AGTR2	GO:0005515	protein binding	Function	IPI	True	True
AGTR2	GO:0005886	plasma membrane	Component	IBA	True	True
AGTR2	GO:0005886	plasma membrane	Component	IC	True	True
AGTR2	GO:0005886	plasma membrane	Component	IEA	True	True
AGTR2	GO:0005886	plasma membrane	Component	TAS	True	True
AGTR2	GO:0006954	inflammatory response	Process	IBA	True	True
AGTR2	GO:0006954	inflammatory response	Process	IEA	True	True
AGTR2	GO:0006954	inflammatory response	Process	IEA	True	True
AGTR2	GO:0007165	signal transduction	Process	IEA	True	True
AGTR2	GO:0007166	cell surface receptor signaling pathway	Process	IDA	True	True
AGTR2	GO:0007166	cell surface receptor signaling pathway	Process	TAS	True	True
AGTR2	GO:0007186	G protein-coupled receptor signaling pathway	Process	IBA	True	True
AGTR2	GO:0007186	G protein-coupled receptor signaling pathway	Process	IC	True	True
AGTR2	GO:0007186	G protein-coupled receptor signaling pathway	Process	IEA	True	True
AGTR2	GO:0007199	G protein-coupled receptor signaling pathway coupled to cGMP nucleotide second messenger	Process	IEA	True	True
AGTR2	GO:0007199	G protein-coupled receptor signaling pathway coupled to cGMP nucleotide second messenger	Process	ISS	True	True
AGTR2	GO:0007420	brain development	Process	NAS	True	True
AGTR2	GO:0008217	regulation of blood pressure	Process	IEA	True	True
AGTR2	GO:0008217	regulation of blood pressure	Process	TAS	True	True
AGTR2	GO:0010459	negative regulation of heart rate	Process	IEA	True	True
AGTR2	GO:0010459	negative regulation of heart rate	Process	ISS	True	True
AGTR2	GO:0016020	membrane	Component	IEA	True	True
AGTR2	GO:0030308	negative regulation of cell growth	Process	TAS	True	True
AGTR2	GO:0035566	regulation of metanephros size	Process	IEA	True	True
AGTR2	GO:0035640	exploration behavior	Process	IEA	True	True
AGTR2	GO:0038060	nitric oxide-cGMP-mediated signaling	Process	IEA	True	True
AGTR2	GO:0038060	nitric oxide-cGMP-mediated signaling	Process	ISS	True	True
AGTR2	GO:0038060	nitric oxide-cGMP-mediated signaling	Process	TAS	True	True
AGTR2	GO:0038166	angiotensin-activated signaling pathway	Process	IEA	True	True
AGTR2	GO:0042311	vasodilation	Process	IDA	True	True
AGTR2	GO:0042311	vasodilation	Process	IEA	True	True
AGTR2	GO:0042981	regulation of apoptotic process	Process	IEA	True	True
AGTR2	GO:0043537	negative regulation of blood vessel endothelial cell migration	Process	NAS	True	True
AGTR2	GO:0045893	positive regulation of DNA-templated transcription	Process	IEA	True	True
AGTR2	GO:0048019	receptor antagonist activity	Function	TAS	True	True
AGTR2	GO:0051387	negative regulation of neurotrophin TRK receptor signaling pathway	Process	IMP	True	True
AGTR2	GO:0051402	neuron apoptotic process	Process	IEA	True	True
AGTR2	GO:0072300	positive regulation of metanephric glomerulus development	Process	IEA	True	True
AGTR2	GO:0090190	positive regulation of branching involved in ureteric bud morphogenesis	Process	IEA	True	True
AGTR2	GO:0097746	blood vessel diameter maintenance	Process	IEA	True	True
AGTR2	GO:2001238	positive regulation of extrinsic apoptotic signaling pathway	Process	IMP	True	True
AR	GO:0000122	negative regulation of transcription by RNA polymerase II	Process	IMP	True	True
AR	GO:0000165	MAPK cascade	Process	IEA	True	True
AR	GO:0000785	chromatin	Component	IBA	True	True
AR	GO:0000785	chromatin	Component	IDA	True	True
AR	GO:0000785	chromatin	Component	ISA	True	True
AR	GO:0000976	transcription cis-regulatory region binding	Function	IDA	True	True
AR	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	Function	IDA	True	True
AR	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	Function	IDA	True	True
AR	GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding	Function	IEA	True	True
AR	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	Function	ISA	True	True
AR	GO:0001091	RNA polymerase II general transcription initiation factor binding	Function	IPI	True	True
AR	GO:0001223	transcription coactivator binding	Function	IDA	True	True
AR	GO:0001223	transcription coactivator binding	Function	IPI	True	True
AR	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	Function	IDA	True	True
AR	GO:0001701	in utero embryonic development	Process	IEA	True	True
AR	GO:0003073	regulation of systemic arterial blood pressure	Process	IEA	True	True
AR	GO:0003382	epithelial cell morphogenesis	Process	IEA	True	True
AR	GO:0003677	DNA binding	Function	IEA	True	True
AR	GO:0003682	chromatin binding	Function	IDA	True	True
AR	GO:0003700	DNA-binding transcription factor activity	Function	IDA	True	True
AR	GO:0003700	DNA-binding transcription factor activity	Function	IEA	True	True
AR	GO:0003707	nuclear steroid receptor activity	Function	IDA	True	True
AR	GO:0004879	nuclear receptor activity	Function	IBA	True	True
AR	GO:0004879	nuclear receptor activity	Function	IDA	True	True
AR	GO:0004879	nuclear receptor activity	Function	IDA	True	True
AR	GO:0004879	nuclear receptor activity	Function	IEA	True	True
AR	GO:0004879	nuclear receptor activity	Function	IMP	True	True
AR	GO:0004879	nuclear receptor activity	Function	TAS	True	True
AR	GO:0005102	signaling receptor binding	Function	IPI	True	True
AR	GO:0005496	steroid binding	Function	IEA	True	True
AR	GO:0005497	androgen binding	Function	IDA	True	True
AR	GO:0005515	protein binding	Function	IPI	True	True
AR	GO:0005634	nucleus	Component	IBA	True	True
AR	GO:0005634	nucleus	Component	IDA	True	True
AR	GO:0005634	nucleus	Component	IEA	True	True
AR	GO:0005654	nucleoplasm	Component	IEA	True	True
AR	GO:0005654	nucleoplasm	Component	TAS	True	True
AR	GO:0005737	cytoplasm	Component	IDA	True	True
AR	GO:0005737	cytoplasm	Component	IEA	True	True
AR	GO:0005829	cytosol	Component	IDA	True	True
AR	GO:0005829	cytosol	Component	TAS	True	True
AR	GO:0005886	plasma membrane	Component	IEA	True	True
AR	GO:0006355	regulation of DNA-templated transcription	Process	IEA	True	True
AR	GO:0006355	regulation of DNA-templated transcription	Process	IEA	True	True
AR	GO:0006357	regulation of transcription by RNA polymerase II	Process	IEA	True	True
AR	GO:0006366	transcription by RNA polymerase II	Process	IEA	True	True
AR	GO:0007165	signal transduction	Process	TAS	True	True
AR	GO:0007267	cell-cell signaling	Process	TAS	True	True
AR	GO:0007283	spermatogenesis	Process	IBA	True	True
AR	GO:0007283	spermatogenesis	Process	IEA	True	True
AR	GO:0007338	single fertilization	Process	IEA	True	True
AR	GO:0008013	beta-catenin binding	Function	IDA	True	True
AR	GO:0008013	beta-catenin binding	Function	IPI	True	True
AR	GO:0008013	beta-catenin binding	Function	TAS	True	True
AR	GO:0008270	zinc ion binding	Function	IEA	True	True
AR	GO:0008284	positive regulation of cell population proliferation	Process	IDA	True	True
AR	GO:0008285	negative regulation of cell population proliferation	Process	IMP	True	True
AR	GO:0008289	lipid binding	Function	IEA	True	True
AR	GO:0008584	male gonad development	Process	IBA	True	True
AR	GO:0008584	male gonad development	Process	IEA	True	True
AR	GO:0009566	fertilization	Process	IEA	True	True
AR	GO:0010467	gene expression	Process	IEA	True	True
AR	GO:0010468	regulation of gene expression	Process	IEA	True	True
AR	GO:0010628	positive regulation of gene expression	Process	IDA	True	True
AR	GO:0010628	positive regulation of gene expression	Process	IMP	True	True
AR	GO:0016607	nuclear speck	Component	IDA	True	True
AR	GO:0019102	male somatic sex determination	Process	IEA	True	True
AR	GO:0019899	enzyme binding	Function	IEA	True	True
AR	GO:0019899	enzyme binding	Function	IPI	True	True
AR	GO:0030520	estrogen receptor signaling pathway	Process	IDA	True	True
AR	GO:0030520	estrogen receptor signaling pathway	Process	IEA	True	True
AR	GO:0030521	androgen receptor signaling pathway	Process	IBA	True	True
AR	GO:0030521	androgen receptor signaling pathway	Process	IDA	True	True
AR	GO:0030521	androgen receptor signaling pathway	Process	IDA	True	True
AR	GO:0030521	androgen receptor signaling pathway	Process	IEA	True	True
AR	GO:0030521	androgen receptor signaling pathway	Process	IEA	True	True
AR	GO:0030522	intracellular receptor signaling pathway	Process	IDA	True	True
AR	GO:0032991	protein-containing complex	Component	IDA	True	True
AR	GO:0033148	positive regulation of intracellular estrogen receptor signaling pathway	Process	IEA	True	True
AR	GO:0033327	Leydig cell differentiation	Process	IEA	True	True
AR	GO:0033574	response to testosterone	Process	IEA	True	True
AR	GO:0034056	estrogen response element binding	Function	IBA	True	True
AR	GO:0035264	multicellular organism growth	Process	IEA	True	True
AR	GO:0043410	positive regulation of MAPK cascade	Process	IEA	True	True
AR	GO:0043565	sequence-specific DNA binding	Function	IEA	True	True
AR	GO:0043568	positive regulation of insulin-like growth factor receptor signaling pathway	Process	IEA	True	True
AR	GO:0045597	positive regulation of cell differentiation	Process	IMP	True	True
AR	GO:0045726	positive regulation of integrin biosynthetic process	Process	IDA	True	True
AR	GO:0045893	positive regulation of DNA-templated transcription	Process	IDA	True	True
AR	GO:0045944	positive regulation of transcription by RNA polymerase II	Process	IBA	True	True
AR	GO:0045944	positive regulation of transcription by RNA polymerase II	Process	IDA	True	True
AR	GO:0045944	positive regulation of transcription by RNA polymerase II	Process	IEA	True	True
AR	GO:0045944	positive regulation of transcription by RNA polymerase II	Process	IMP	True	True
AR	GO:0045945	positive regulation of transcription by RNA polymerase III	Process	IDA	True	True
AR	GO:0046872	metal ion binding	Function	IEA	True	True
AR	GO:0048009	insulin-like growth factor receptor signaling pathway	Process	IEA	True	True
AR	GO:0048608	reproductive structure development	Process	IEA	True	True
AR	GO:0048638	regulation of developmental growth	Process	IEA	True	True
AR	GO:0048645	animal organ formation	Process	IEA	True	True
AR	GO:0048808	male genitalia morphogenesis	Process	IEA	True	True
AR	GO:0050673	epithelial cell proliferation	Process	IEA	True	True
AR	GO:0050680	negative regulation of epithelial cell proliferation	Process	IEA	True	True
AR	GO:0051117	ATPase binding	Function	IDA	True	True
AR	GO:0060090	molecular adaptor activity	Function	IDA	True	True
AR	GO:0060514	prostate induction	Process	IEA	True	True
AR	GO:0060571	morphogenesis of an epithelial fold	Process	IEA	True	True
AR	GO:0060599	lateral sprouting involved in mammary gland duct morphogenesis	Process	IEA	True	True
AR	GO:0060685	regulation of prostatic bud formation	Process	IEA	True	True
AR	GO:0060736	prostate gland growth	Process	IEA	True	True
AR	GO:0060740	prostate gland epithelium morphogenesis	Process	IEA	True	True
AR	GO:0060742	epithelial cell differentiation involved in prostate gland development	Process	IEA	True	True
AR	GO:0060748	tertiary branching involved in mammary gland duct morphogenesis	Process	IEA	True	True
AR	GO:0060749	mammary gland alveolus development	Process	IEA	True	True
AR	GO:0060769	positive regulation of epithelial cell proliferation involved in prostate gland development	Process	IEA	True	True
AR	GO:0061458	reproductive system development	Process	IEA	True	True
AR	GO:0061629	RNA polymerase II-specific DNA-binding transcription factor binding	Function	IPI	True	True
AR	GO:0070974	POU domain binding	Function	IEA	True	True
AR	GO:0071383	cellular response to steroid hormone stimulus	Process	IMP	True	True
AR	GO:0071391	cellular response to estrogen stimulus	Process	IDA	True	True
AR	GO:0071394	cellular response to testosterone stimulus	Process	IDA	True	True
AR	GO:0071394	cellular response to testosterone stimulus	Process	IEA	True	True
AR	GO:0072520	seminiferous tubule development	Process	IEA	True	True
AR	GO:0140693	molecular condensate scaffold activity	Function	IDA	True	True
AR	GO:0140694	membraneless organelle assembly	Process	IDA	True	True
AR	GO:1902895	positive regulation of miRNA transcription	Process	IDA	True	True
AR	GO:1903076	regulation of protein localization to plasma membrane	Process	IDA	True	True
AR	GO:1990837	sequence-specific double-stranded DNA binding	Function	IEA	True	True
AR	GO:2001237	negative regulation of extrinsic apoptotic signaling pathway	Process	IDA	True	True
STS	GO:0004065	arylsulfatase activity	Function	IBA	True	True
STS	GO:0004773	steryl-sulfatase activity	Function	IEA	True	True
STS	GO:0004773	steryl-sulfatase activity	Function	TAS	True	True
STS	GO:0005764	lysosome	Component	TAS	True	True
STS	GO:0005768	endosome	Component	TAS	True	True
STS	GO:0005783	endoplasmic reticulum	Component	IEA	True	True
STS	GO:0005783	endoplasmic reticulum	Component	TAS	True	True
STS	GO:0005788	endoplasmic reticulum lumen	Component	IEA	True	True
STS	GO:0005788	endoplasmic reticulum lumen	Component	TAS	True	True
STS	GO:0005789	endoplasmic reticulum membrane	Component	IEA	True	True
STS	GO:0005789	endoplasmic reticulum membrane	Component	TAS	True	True
STS	GO:0005794	Golgi apparatus	Component	TAS	True	True
STS	GO:0005886	plasma membrane	Component	TAS	True	True
STS	GO:0006629	lipid metabolic process	Process	IEA	True	True
STS	GO:0006706	steroid catabolic process	Process	TAS	True	True
STS	GO:0007565	female pregnancy	Process	IEA	True	True
STS	GO:0008202	steroid metabolic process	Process	IEA	True	True
STS	GO:0008484	sulfuric ester hydrolase activity	Function	IDA	True	True
STS	GO:0008544	epidermis development	Process	TAS	True	True
STS	GO:0016020	membrane	Component	IEA	True	True
STS	GO:0016020	membrane	Component	TAS	True	True
STS	GO:0016787	hydrolase activity	Function	IEA	True	True
STS	GO:0031410	cytoplasmic vesicle	Component	IEA	True	True
STS	GO:0043231	intracellular membrane-bounded organelle	Component	TAS	True	True
STS	GO:0046872	metal ion binding	Function	IEA	True	True
ATP6AP1	GO:0000139	Golgi membrane	Component	NAS	True	True
ATP6AP1	GO:0001671	ATPase activator activity	Function	IBA	True	True
ATP6AP1	GO:0001671	ATPase activator activity	Function	IEA	True	True
ATP6AP1	GO:0005515	protein binding	Function	IPI	True	True
ATP6AP1	GO:0005765	lysosomal membrane	Component	NAS	True	True
ATP6AP1	GO:0005783	endoplasmic reticulum	Component	IEA	True	True
ATP6AP1	GO:0005789	endoplasmic reticulum membrane	Component	IEA	True	True
ATP6AP1	GO:0005886	plasma membrane	Component	NAS	True	True
ATP6AP1	GO:0006811	monoatomic ion transport	Process	IEA	True	True
ATP6AP1	GO:0006879	intracellular iron ion homeostasis	Process	IMP	True	True
ATP6AP1	GO:0007035	vacuolar acidification	Process	NAS	True	True
ATP6AP1	GO:0007042	lysosomal lumen acidification	Process	NAS	True	True
ATP6AP1	GO:0010008	endosome membrane	Component	IEA	True	True
ATP6AP1	GO:0010008	endosome membrane	Component	NAS	True	True
ATP6AP1	GO:0010008	endosome membrane	Component	TAS	True	True
ATP6AP1	GO:0012505	endomembrane system	Component	IEA	True	True
ATP6AP1	GO:0016020	membrane	Component	IDA	True	True
ATP6AP1	GO:0016020	membrane	Component	IEA	True	True
ATP6AP1	GO:0016469	proton-transporting two-sector ATPase complex	Component	TAS	True	True
ATP6AP1	GO:0030641	regulation of cellular pH	Process	IBA	True	True
ATP6AP1	GO:0030659	cytoplasmic vesicle membrane	Component	IEA	True	True
ATP6AP1	GO:0030665	clathrin-coated vesicle membrane	Component	IEA	True	True
ATP6AP1	GO:0030672	synaptic vesicle membrane	Component	IEA	True	True
ATP6AP1	GO:0031267	small GTPase binding	Function	IEA	True	True
ATP6AP1	GO:0031267	small GTPase binding	Function	ISS	True	True
ATP6AP1	GO:0031410	cytoplasmic vesicle	Component	IEA	True	True
ATP6AP1	GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane	Component	IEA	True	True
ATP6AP1	GO:0033176	proton-transporting V-type ATPase complex	Component	IBA	True	True
ATP6AP1	GO:0033176	proton-transporting V-type ATPase complex	Component	NAS	True	True
ATP6AP1	GO:0036035	osteoclast development	Process	IEA	True	True
ATP6AP1	GO:0036035	osteoclast development	Process	ISS	True	True
ATP6AP1	GO:0036295	cellular response to increased oxygen levels	Process	IMP	True	True
ATP6AP1	GO:0045202	synapse	Component	IEA	True	True
ATP6AP1	GO:0048388	endosomal lumen acidification	Process	NAS	True	True
ATP6AP1	GO:0051452	intracellular pH reduction	Process	NAS	True	True
ATP6AP1	GO:0061795	Golgi lumen acidification	Process	NAS	True	True
ATP6AP1	GO:0070062	extracellular exosome	Component	HDA	True	True
ATP6AP1	GO:0097401	synaptic vesicle lumen acidification	Process	IEA	True	True
ATP6AP1	GO:0098588	bounding membrane of organelle	Component	IEA	True	True
ATP6AP1	GO:0099638	endosome to plasma membrane protein transport	Process	IEA	True	True
ATP6AP1	GO:0099638	endosome to plasma membrane protein transport	Process	ISS	True	True
ATP6AP1	GO:0141109	transporter activator activity	Function	IEA	True	True
ATP6AP1	GO:1902600	proton transmembrane transport	Process	IEA	True	True
ATP6AP1	GO:1902600	proton transmembrane transport	Process	NAS	True	True
BTK	GO:0000166	nucleotide binding	Function	IEA	True	True
BTK	GO:0001780	neutrophil homeostasis	Process	IEA	True	True
BTK	GO:0001805	positive regulation of type III hypersensitivity	Process	IEA	True	True
BTK	GO:0001812	positive regulation of type I hypersensitivity	Process	IEA	True	True
BTK	GO:0001818	negative regulation of cytokine production	Process	IEA	True	True
BTK	GO:0002250	adaptive immune response	Process	IBA	True	True
BTK	GO:0002250	adaptive immune response	Process	IEA	True	True
BTK	GO:0002250	adaptive immune response	Process	TAS	True	True
BTK	GO:0002344	B cell affinity maturation	Process	IEA	True	True
BTK	GO:0002376	immune system process	Process	IEA	True	True
BTK	GO:0002553	histamine secretion by mast cell	Process	IEA	True	True
BTK	GO:0002639	positive regulation of immunoglobulin production	Process	IEA	True	True
BTK	GO:0002721	regulation of B cell cytokine production	Process	TAS	True	True
BTK	GO:0002755	MyD88-dependent toll-like receptor signaling pathway	Process	TAS	True	True
BTK	GO:0002902	regulation of B cell apoptotic process	Process	TAS	True	True
BTK	GO:0004672	protein kinase activity	Function	IEA	True	True
BTK	GO:0004713	protein tyrosine kinase activity	Function	EXP	True	True
BTK	GO:0004713	protein tyrosine kinase activity	Function	IDA	True	True
BTK	GO:0004713	protein tyrosine kinase activity	Function	IEA	True	True
BTK	GO:0004713	protein tyrosine kinase activity	Function	TAS	True	True
BTK	GO:0004715	non-membrane spanning protein tyrosine kinase activity	Function	IBA	True	True
BTK	GO:0004715	non-membrane spanning protein tyrosine kinase activity	Function	IDA	True	True
BTK	GO:0004715	non-membrane spanning protein tyrosine kinase activity	Function	IEA	True	True
BTK	GO:0004715	non-membrane spanning protein tyrosine kinase activity	Function	IGI	True	True
BTK	GO:0004715	non-membrane spanning protein tyrosine kinase activity	Function	TAS	True	True
BTK	GO:0005515	protein binding	Function	IPI	True	True
BTK	GO:0005524	ATP binding	Function	IEA	True	True
BTK	GO:0005524	ATP binding	Function	TAS	True	True
BTK	GO:0005547	phosphatidylinositol-3,4,5-trisphosphate binding	Function	IDA	True	True
BTK	GO:0005634	nucleus	Component	IEA	True	True
BTK	GO:0005634	nucleus	Component	TAS	True	True
BTK	GO:0005737	cytoplasm	Component	IDA	True	True
BTK	GO:0005737	cytoplasm	Component	IEA	True	True
BTK	GO:0005737	cytoplasm	Component	TAS	True	True
BTK	GO:0005829	cytosol	Component	IDA	True	True
BTK	GO:0005829	cytosol	Component	IEA	True	True
BTK	GO:0005829	cytosol	Component	TAS	True	True
BTK	GO:0005886	plasma membrane	Component	IBA	True	True
BTK	GO:0005886	plasma membrane	Component	IDA	True	True
BTK	GO:0005886	plasma membrane	Component	IEA	True	True
BTK	GO:0005886	plasma membrane	Component	TAS	True	True
BTK	GO:0006915	apoptotic process	Process	IEA	True	True
BTK	GO:0007498	mesoderm development	Process	TAS	True	True
BTK	GO:0008270	zinc ion binding	Function	IEA	True	True
BTK	GO:0008289	lipid binding	Function	IEA	True	True
BTK	GO:0016004	phospholipase activator activity	Function	IDA	True	True
BTK	GO:0016020	membrane	Component	IEA	True	True
BTK	GO:0016301	kinase activity	Function	IEA	True	True
BTK	GO:0016740	transferase activity	Function	IEA	True	True
BTK	GO:0018108	peptidyl-tyrosine phosphorylation	Process	IDA	True	True
BTK	GO:0019722	calcium-mediated signaling	Process	TAS	True	True
BTK	GO:0030167	proteoglycan catabolic process	Process	IEA	True	True
BTK	GO:0030889	negative regulation of B cell proliferation	Process	IEA	True	True
BTK	GO:0030890	positive regulation of B cell proliferation	Process	IEA	True	True
BTK	GO:0031410	cytoplasmic vesicle	Component	IEA	True	True
BTK	GO:0032481	positive regulation of type I interferon production	Process	IDA	True	True
BTK	GO:0032496	response to lipopolysaccharide	Process	IEA	True	True
BTK	GO:0032693	negative regulation of interleukin-10 production	Process	IEA	True	True
BTK	GO:0032755	positive regulation of interleukin-6 production	Process	IEA	True	True
BTK	GO:0032760	positive regulation of tumor necrosis factor production	Process	IEA	True	True
BTK	GO:0034614	cellular response to reactive oxygen species	Process	IEA	True	True
BTK	GO:0035556	intracellular signal transduction	Process	IDA	True	True
BTK	GO:0035556	intracellular signal transduction	Process	IEA	True	True
BTK	GO:0035556	intracellular signal transduction	Process	IGI	True	True
BTK	GO:0035556	intracellular signal transduction	Process	TAS	True	True
BTK	GO:0038095	Fc-epsilon receptor signaling pathway	Process	TAS	True	True
BTK	GO:0042113	B cell activation	Process	IEA	True	True
BTK	GO:0042113	B cell activation	Process	TAS	True	True
BTK	GO:0042802	identical protein binding	Function	IPI	True	True
BTK	GO:0043123	positive regulation of canonical NF-kappaB signal transduction	Process	TAS	True	True
BTK	GO:0043274	phospholipase binding	Function	IPI	True	True
BTK	GO:0045087	innate immune response	Process	IEA	True	True
BTK	GO:0045087	innate immune response	Process	TAS	True	True
BTK	GO:0045121	membrane raft	Component	IDA	True	True
BTK	GO:0045121	membrane raft	Component	IEA	True	True
BTK	GO:0045579	positive regulation of B cell differentiation	Process	TAS	True	True
BTK	GO:0046872	metal ion binding	Function	IEA	True	True
BTK	GO:0048469	cell maturation	Process	IEA	True	True
BTK	GO:0048471	perinuclear region of cytoplasm	Component	IEA	True	True
BTK	GO:0050766	positive regulation of phagocytosis	Process	IEA	True	True
BTK	GO:0050852	T cell receptor signaling pathway	Process	IBA	True	True
BTK	GO:0050853	B cell receptor signaling pathway	Process	IBA	True	True
BTK	GO:0050853	B cell receptor signaling pathway	Process	IDA	True	True
BTK	GO:0050853	B cell receptor signaling pathway	Process	TAS	True	True
BTK	GO:0050864	regulation of B cell activation	Process	IEA	True	True
BTK	GO:0050869	negative regulation of B cell activation	Process	IEA	True	True
BTK	GO:0051092	positive regulation of NF-kappaB transcription factor activity	Process	TAS	True	True
BTK	GO:0061516	monocyte proliferation	Process	IEA	True	True
BTK	GO:0070664	negative regulation of leukocyte proliferation	Process	IEA	True	True
BTK	GO:0071226	cellular response to molecule of fungal origin	Process	IEA	True	True
BTK	GO:0097190	apoptotic signaling pathway	Process	TAS	True	True
BTK	GO:0098761	cellular response to interleukin-7	Process	IEA	True	True
BTK	GO:0140896	cGAS/STING signaling pathway	Process	IDA	True	True
BTK	GO:0141111	positive regulation of cGAS/STING signaling pathway	Process	IDA	True	True
BTK	GO:0150153	positive regulation of interleukin-17A production	Process	IEA	True	True
BTK	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	Process	IDA	True	True
BTK	GO:1900227	positive regulation of NLRP3 inflammasome complex assembly	Process	IEA	True	True
BTK	GO:1901647	positive regulation of synoviocyte proliferation	Process	IEA	True	True
BTK	GO:1990959	eosinophil homeostasis	Process	IEA	True	True
S100G	GO:0005499	vitamin D binding	Function	IEA	True	True
S100G	GO:0005509	calcium ion binding	Function	IBA	True	True
S100G	GO:0005509	calcium ion binding	Function	IEA	True	True
S100G	GO:0005509	calcium ion binding	Function	TAS	True	True
S100G	GO:0005515	protein binding	Function	IPI	True	True
S100G	GO:0005737	cytoplasm	Component	IBA	True	True
S100G	GO:0016323	basolateral plasma membrane	Component	IEA	True	True
S100G	GO:0016324	apical plasma membrane	Component	IEA	True	True
S100G	GO:0046872	metal ion binding	Function	IEA	True	True
S100G	GO:0046914	transition metal ion binding	Function	IEA	True	True
S100G	GO:0048306	calcium-dependent protein binding	Function	IBA	True	True
CDX4	GO:0000122	negative regulation of transcription by RNA polymerase II	Process	IEA	True	True
CDX4	GO:0000785	chromatin	Component	ISA	True	True
CDX4	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	Function	IBA	True	True
