gene_name	category	pattern	in_AFR	in_SAS	AFR_n_subpops	AFR_total_subpops	AFR_proportion	AFR_subpops	SAS_n_subpops	SAS_total_subpops	SAS_proportion	SAS_subpops
FAM9B	shared	broad-narrow	1	1	4	7	0.5714285714285714	ACB,ESN,GWD,YRI	1	5	0.2	PJL
PCDH11X	shared	broad-narrow	1	1	4	7	0.5714285714285714	ACB,ASW,GWD,YRI	1	5	0.2	ITU
RTL4	shared	broad-narrow	1	1	4	7	0.5714285714285714	ACB,ESN,GWD,YRI	1	5	0.2	PJL
TRPC5	shared	broad-narrow	1	1	4	7	0.5714285714285714	ACB,ESN,GWD,YRI	1	5	0.2	PJL
ACSL4	shared	narrow-broad	1	1	2	7	0.2857142857142857	GWD,YRI	4	5	0.8	BEB,ITU,PJL,STU
KCNE5	shared	narrow-broad	1	1	2	7	0.2857142857142857	GWD,YRI	4	5	0.8	BEB,ITU,PJL,STU
USP9X	shared	narrow-broad	1	1	1	7	0.14285714285714285	LWK	3	5	0.6	BEB,ITU,STU
CFAP47	shared	narrow-narrow	1	1	2	7	0.2857142857142857	ACB,ASW	1	5	0.2	PJL
CITED1	shared	narrow-narrow	1	1	2	7	0.2857142857142857	ACB,YRI	1	5	0.2	ITU
DYNLT3	shared	narrow-narrow	1	1	1	7	0.14285714285714285	ASW	2	5	0.4	ITU,PJL
ENSG00000285547	shared	narrow-narrow	1	1	2	7	0.2857142857142857	ACB,YRI	1	5	0.2	ITU
HDAC8	shared	narrow-narrow	1	1	2	7	0.2857142857142857	ACB,YRI	1	5	0.2	ITU
NLGN4X	shared	narrow-narrow	1	1	1	7	0.14285714285714285	GWD	1	5	0.2	PJL
OTC	shared	narrow-narrow	1	1	3	7	0.42857142857142855	ESN,MSL,YRI	1	5	0.2	PJL
PIN4	shared	narrow-narrow	1	1	2	7	0.2857142857142857	ACB,YRI	1	5	0.2	ITU
RPGR	shared	narrow-narrow	1	1	3	7	0.42857142857142855	ESN,MSL,YRI	1	5	0.2	PJL
RPS4X	shared	narrow-narrow	1	1	2	7	0.2857142857142857	ACB,YRI	1	5	0.2	ITU
TDGF1P3	shared	narrow-narrow	1	1	1	7	0.14285714285714285	ESN	1	5	0.2	STU
WDR44	shared	narrow-narrow	1	1	1	7	0.14285714285714285	ACB	2	5	0.4	BEB,ITU
ZFX	shared	narrow-narrow	1	1	1	7	0.14285714285714285	LWK	1	5	0.2	BEB
