gene_name	category	pattern	in_AFR	in_EAS	AFR_n_subpops	AFR_total_subpops	AFR_proportion	AFR_subpops	EAS_n_subpops	EAS_total_subpops	EAS_proportion	EAS_subpops
RRAGB	AFR_specific	narrow	1	0	1	7	0.14285714285714285	LWK	0	5	0.0	
SAT1	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
SEPTIN6	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
SHROOM2	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
SHROOM4	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
SOWAHD	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
SPANXD	AFR_specific	narrow	1	0	1	7	0.14285714285714285	YRI	0	5	0.0	
SPRY3	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
TDGF1P3	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ESN	0	5	0.0	
TENM1	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
TMLHE	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ASW	0	5	0.0	
WDR44	AFR_specific	narrow	1	0	1	7	0.14285714285714285	ACB	0	5	0.0	
ZCCHC13	AFR_specific	narrow	1	0	1	7	0.14285714285714285	MSL	0	5	0.0	
ZFX	AFR_specific	narrow	1	0	1	7	0.14285714285714285	LWK	0	5	0.0	
ZMAT1	AFR_specific	narrow	1	0	1	7	0.14285714285714285	MSL	0	5	0.0	
DIAPH2	EAS_specific	narrow	0	1	0	7	0.0		1	5	0.2	JPT
EDA	EAS_specific	narrow	0	1	0	7	0.0		2	5	0.4	CHB,CHS
F9	EAS_specific	narrow	0	1	0	7	0.0		1	5	0.2	KHV
KDM6A	EAS_specific	narrow	0	1	0	7	0.0		1	5	0.2	CHS
MCF2	EAS_specific	narrow	0	1	0	7	0.0		1	5	0.2	KHV
PPP1R2C	EAS_specific	narrow	0	1	0	7	0.0		1	5	0.2	CHS
TGIF2LX	EAS_specific	narrow	0	1	0	7	0.0		1	5	0.2	KHV
DMD	shared	broad-narrow	1	1	4	7	0.5714285714285714	ACB,GWD,LWK,MSL	2	5	0.4	CDX,KHV
ENSG00000250349	shared	broad-narrow	1	1	4	7	0.5714285714285714	ASW,ESN,MSL,YRI	1	5	0.2	JPT
FAM9B	shared	broad-narrow	1	1	4	7	0.5714285714285714	ACB,ESN,GWD,YRI	1	5	0.2	JPT
NXT2	shared	broad-narrow	1	1	4	7	0.5714285714285714	ACB,ESN,GWD,YRI	1	5	0.2	JPT
RTL4	shared	broad-narrow	1	1	4	7	0.5714285714285714	ACB,ESN,GWD,YRI	2	5	0.4	CHB,JPT
TRPC5	shared	broad-narrow	1	1	4	7	0.5714285714285714	ACB,ESN,GWD,YRI	2	5	0.4	CHB,JPT
MID1	shared	narrow-broad	1	1	3	7	0.42857142857142855	ACB,ESN,MSL	4	5	0.8	CDX,CHB,JPT,KHV
ACSL4	shared	narrow-narrow	1	1	2	7	0.2857142857142857	GWD,YRI	1	5	0.2	JPT
CPXCR1	shared	narrow-narrow	1	1	3	7	0.42857142857142855	ESN,GWD,YRI	1	5	0.2	JPT
DACH2	shared	narrow-narrow	1	1	1	7	0.14285714285714285	MSL	1	5	0.2	CHB
KCNE5	shared	narrow-narrow	1	1	2	7	0.2857142857142857	GWD,YRI	1	5	0.2	JPT
NLGN4X	shared	narrow-narrow	1	1	1	7	0.14285714285714285	GWD	1	5	0.2	JPT
OTC	shared	narrow-narrow	1	1	3	7	0.42857142857142855	ESN,MSL,YRI	1	5	0.2	JPT
PGRMC1	shared	narrow-narrow	1	1	3	7	0.42857142857142855	ACB,ESN,MSL	1	5	0.2	CHB
RPGR	shared	narrow-narrow	1	1	3	7	0.42857142857142855	ESN,MSL,YRI	1	5	0.2	JPT
STS	shared	narrow-narrow	1	1	2	7	0.2857142857142857	ESN,YRI	2	5	0.4	CHB,KHV
TEX11	shared	narrow-narrow	1	1	2	7	0.2857142857142857	ESN,YRI	1	5	0.2	CDX
USP9X	shared	narrow-narrow	1	1	1	7	0.14285714285714285	LWK	1	5	0.2	KHV
