gene_name	n_continents	continents	AFR_present	AFR_n_subpops	AFR_proportion	AFR_breadth	AFR_subpops	AMR_present	AMR_n_subpops	AMR_proportion	AMR_breadth	AMR_subpops	EAS_present	EAS_n_subpops	EAS_proportion	EAS_breadth	EAS_subpops	EUR_present	EUR_n_subpops	EUR_proportion	EUR_breadth	EUR_subpops	SAS_present	SAS_n_subpops	SAS_proportion	SAS_breadth	SAS_subpops
RHOXF1P3	1	AFR	1	1	0.14285714285714285	narrow	MSL	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
RNF128	1	AMR	0	0	0.0	absent		1	1	0.25	narrow	MXL	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
RPL10	1	AMR	0	0	0.0	absent		1	1	0.25	narrow	MXL	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
RPL39	1	AFR	1	1	0.14285714285714285	narrow	ASW	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
RTL3	1	AMR	0	0	0.0	absent		1	1	0.25	narrow	MXL	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
SAT1	1	AFR	1	1	0.14285714285714285	narrow	ASW	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
SEPTIN6	1	AFR	1	1	0.14285714285714285	narrow	ASW	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
SHROOM2	1	AFR	1	1	0.14285714285714285	narrow	ASW	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
SHROOM4	1	AFR	1	1	0.14285714285714285	narrow	ASW	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
SLC10A3	1	AMR	0	0	0.0	absent		1	1	0.25	narrow	MXL	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
SLC35A2	1	AMR	0	0	0.0	absent		1	1	0.25	narrow	MXL	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
SOWAHD	1	AFR	1	1	0.14285714285714285	narrow	ASW	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
SPANXD	1	AFR	1	1	0.14285714285714285	narrow	YRI	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
SPRY3	1	AFR	1	1	0.14285714285714285	narrow	ASW	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
TAFAZZIN	1	AMR	0	0	0.0	absent		1	1	0.25	narrow	MXL	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
TCEAL5	1	AMR	0	0	0.0	absent		1	1	0.25	narrow	PEL	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
TCEAL7	1	AMR	0	0	0.0	absent		1	1	0.25	narrow	PEL	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
TCEAL8	1	AMR	0	0	0.0	absent		1	1	0.25	narrow	PEL	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
TENM1	1	AFR	1	1	0.14285714285714285	narrow	ASW	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
TGIF2LX	1	EAS	0	0	0.0	absent		0	0	0.0	absent		1	1	0.2	narrow	KHV	0	0	0.0	absent		0	0	0.0	absent	
TIMM17B	1	AMR	0	0	0.0	absent		1	1	0.25	narrow	MXL	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
TMLHE	1	AFR	1	1	0.14285714285714285	narrow	ASW	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
UBL4A	1	AMR	0	0	0.0	absent		1	1	0.25	narrow	MXL	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
ZCCHC13	1	AFR	1	1	0.14285714285714285	narrow	MSL	0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent		0	0	0.0	absent	
