chr	start	end	length	n_snps	n_genes_total	n_genes_contained	n_genes_overlapping	n_genes_flanking	max_std_ihs	protein_coding_genes	chr_type
17	41031993	41490825	458832	111	62	49	12	1	6.54776	KRT40,KRTAP3-3,KRTAP3-2,KRTAP3-1,KRTAP1-5,KRTAP1-4,KRTAP1-3,KRTAP1-1,KRTAP2-1,KRTAP2-2,KRTAP2-3,KRTAP2-4,KRTAP4-7,KRTAP4-8,KRTAP4-16,KRTAP4-9,KRTAP4-11,KRTAP4-12,KRTAP4-6,KRTAP4-5,KRTAP4-4,KRTAP4-3,KRTAP4-2,KRTAP4-1,KRTAP9-1,KRTAP9-2,KRTAP9-3,KRTAP9-8,KRTAP9-4,KRTAP9-9,KRTAP9-6,KRTAP9-7,KRTAP29-1,KRTAP16-1,KRTAP17-1,KRT33A,KRT33B,KRT34,KRT31,KRT37,KRT38,KRT32,KRT35,KRT36,KRT13,KRT15,KRT19	Autosome
16	1581590	2080726	499136	41	61	46	11	4	5.62026	IFT140,TMEM204,CRAMP1,ENSG00000261732,JPT2,MAPK8IP3,NME3,MRPS34,EME2,SPSB3,NUBP2,IGFALS,HAGH,FAHD1,MEIOB,ENSG00000289722,HS3ST6,MSRB1,RPL3L,NDUFB10,RPS2,RNF151,TBL3,NOXO1,GFER,SYNGR3,ZNF598,NPW,NHERF2,NTHL1,TSC2,PKD1	Autosome
6	29401036	29900586	499550	507	60	50	10	0	6.3755	OR5V1,OR12D3,OR12D2,OR12D1,OR11A1,OR10C1,OR2H1,MAS1L,OR2I1P,UBD,GABBR1,OR2H2,MOG,ZFP57,HLA-F,HLA-G,HLA-A	Autosome
12	6400634	6900438	499804	30	60	50	8	2	5.80847	SCNN1A,LTBR,CD27,TAPBPL,VAMP1,MRPL51,NCAPD2,GAPDH,IFFO1,NOP2,ENSG00000285238,CHD4,LPAR5,ACRBP,ING4,ZNF384,PIANP,COPS7A,MLF2,PTMS,LAG3,CD4,GPR162,P3H3,GNB3,CDCA3,USP5,TPI1,SPSB2,LRRC23,ENO2,ATN1,C12orf57,PTPN6	Autosome
11	62640726	63079512	438786	23	58	48	7	3	6.63943	ENSG00000255508,TUT1,MTA2,EML3,ROM1,B3GAT3,GANAB,INTS5,ENSG00000255432,C11orf98,LBHD1,CSKMT,UQCC3,UBXN1,LRRN4CL,BSCL2,HNRNPUL2-BSCL2,GNG3,HNRNPUL2,TTC9C,ZBTB3,POLR2G,TAF6L,TMEM223,TMEM179B,NXF1,STX5,TEX54,WDR74,SLC3A2,CHRM1,SLC22A6,SLC22A8,SLC22A24	Autosome
14	21647291	22140432	493141	69	58	46	11	1	3.83268	OR10G2,OR4E2,OR4E1	Autosome
5	140941199	141285038	343839	11	57	38	5	14	4.59217	PCDHA1,PCDHA2,PCDHA3,PCDHA4,PCDHA5,PCDHA6,PCDHA7,PCDHA8,PCDHA9,PCDHA10,PCDHA11,PCDHA12,PCDHA13,PCDHAC1,PCDHAC2,PCDHB1,PCDHB2,PCDHB3,PCDHB4,PCDHB5,PCDHB6,PCDHB7,PCDHB8,PCDHB16,PCDHB9,PCDHB10,PCDHB11,PCDHB12,PCDHB13,PCDHB14,ENSG00000279983,PCDHB15,TAF7,SLC25A2,PCDHGA1	Autosome
15	25210040	25574617	364577	59	56	30	25	1	6.30063	UBE3A	Autosome
9	136593316	136994517	401201	15	55	45	7	3	3.28889	NOTCH1,EGFL7,AGPAT2,DIPK1B,LCN10,ENSG00000204003,LCN6,LCN8,LCN15,TMEM141,ENSG00000272896,CCDC183,RABL6,AJM1,PHPT1,MAMDC4,EDF1,TRAF2,FBXW5,C8G,LCN12,PTGDS,ENSG00000284341,LCNL1,PAXX,CLIC3,ABCA2,FUT7,ENSG00000279073,NPDC1	Autosome
14	24132109	24556312	424203	18	55	48	5	2	6.46563	NRL,PCK2,DCAF11,ENSG00000259371,FITM1,PSME1,EMC9,PSME2,RNF31,ENSG00000259529,IRF9,REC8,IPO4,ENSG00000259522,TM9SF1,ENSG00000254692,TSSK4,CHMP4A,MDP1,NEDD8-MDP1,NEDD8,GMPR2,TINF2,TGM1,RABGGTA,DHRS1,NOP9,CIDEB,LTB4R2,LTB4R,ADCY4,RIPK3,NFATC4,NYNRIN,CBLN3,KHNYN,SDR39U1,CMA1,CTSG	Autosome
