ihs_pos	ihs_neg_log10_p	relate_pos	relate_score	relate_population	distance	n_relate_nearby
146484234	5.996560991006413	146458610	5.21292	LWK	25624	1
46350224	5.981215150707954	46300826	5.18882	YRI	49398	2
27966177	5.980223662236366	27950588	5.16428	LWK	15589	1
95778199	5.976060338351347	95735782	5.16531	LWK	42417	1
114014069	5.909410068987452	114003078	5.00252	ACB	10991	1
32327449	5.870718236624355	32351155	5.16531	LWK	23706	1
78555682	5.849156106767266	78604313	5.21365	ACB	48631	2
146483844	5.691183993903389	146458610	5.21292	LWK	25234	1
31147140	5.6301712401672726	31146158	5.49049	GWD	982	1
114004575	5.536356671262067	114003078	5.00252	ACB	1497	1
146485725	5.489544086296245	146458610	5.21292	LWK	27115	1
99808192	5.4821270610296855	99796599	5.01388	GWD	11593	1
146486145	5.472989340803084	146458610	5.21292	LWK	27535	1
90598304	5.465226370245821	90634786	5.61778	LWK	36482	1
125200652	5.447386852284238	125163311	5.401	MSL	37341	1
124735015	5.416946726810315	124782040	5.71287	ACB	47025	9
146484633	5.415586110671801	146458610	5.21292	LWK	26023	1
146488175	5.403787565722398	146458610	5.21292	LWK	29565	1
146487956	5.398791839813054	146458610	5.21292	LWK	29346	1
146484982	5.384278089132477	146458610	5.21292	LWK	26372	1
32326433	5.3838607261570965	32351155	5.16531	LWK	24722	1
146484134	5.371576884061263	146458610	5.21292	LWK	25524	1
31154909	5.338530730067461	31146158	5.49049	GWD	8751	1
27979258	5.333088659862494	27950588	5.16428	LWK	28670	1
146488278	5.311680622173911	146458610	5.21292	LWK	29668	1
126013171	5.295508967452198	125990809	5.13006	ESN	22362	1
97864311	5.282978481766577	97833845	5.56755	YRI	30466	1
31149661	5.2755418931334885	31146158	5.49049	GWD	3503	1
146482115	5.2746746437943415	146458610	5.21292	LWK	23505	1
146483327	5.269596520329803	146458610	5.21292	LWK	24717	1
90595037	5.268461513302719	90634786	5.61778	LWK	39749	1
146488606	5.265160393166973	146458610	5.21292	LWK	29996	1
95769009	5.254645209339199	95735782	5.16531	LWK	33227	1
31146929	5.220782079213233	31146158	5.49049	GWD	771	1
22794716	5.203072806373046	22754526	5.28313	ESN	40190	2
146486999	5.203031801303273	146458610	5.21292	LWK	28389	1
82154567	5.201883727158037	82155170	6.07029	GWD	603	9
146486808	5.190430664008513	146458610	5.21292	LWK	28198	1
125201706	5.170546920960524	125163311	5.401	MSL	38395	1
63833078	5.1700155929091824	63790592	5.65504	LWK	42486	1
116744361	5.161171085493928	116733286	5.71756	YRI	11075	2
146481293	5.149438166573182	146458610	5.21292	LWK	22683	1
146481294	5.149438166573182	146458610	5.21292	LWK	22684	1
114009441	5.139796910433854	114003078	5.00252	ACB	6363	1
110062327	5.134134736111999	110107134	5.64901	YRI	44807	1
32328029	5.022152182492754	32351155	5.16531	LWK	23126	1
110069545	5.009296989387933	110107134	5.64901	YRI	37589	1
46347923	5.00385024139865	46300826	5.18882	YRI	47097	2
31960558	4.98237454301287	32008576	5.11282	MSL	48018	1
78604288	4.981312034132168	78604313	5.21365	ACB	25	3
53356020	4.973977905058914	53404752	6.19419	LWK	48732	1
146482244	4.960746536447893	146458610	5.21292	LWK	23634	1
146482874	4.95732656047969	146458610	5.21292	LWK	24264	1
146482871	4.95732656047969	146458610	5.21292	LWK	24261	1
31960138	4.95522717917739	32008576	5.11282	MSL	48438	1
146481807	4.9535679934236505	146458610	5.21292	LWK	23197	1
146482008	4.949231478863602	146458610	5.21292	LWK	23398	1
146482013	4.9468142746184105	146458610	5.21292	LWK	23403	1
35517408	4.934258638091746	35470944	7.59619	ACB	46464	19
146483195	4.932403639428476	146458610	5.21292	LWK	24585	1
146482658	4.9290535877109525	146458610	5.21292	LWK	24048	1
146484924	4.904820770636624	146458610	5.21292	LWK	26314	1
122403198	4.901480413969181	122410127	5.60332	ESN	6929	1
146479143	4.893929183108759	146458610	5.21292	LWK	20533	1
125471420	4.893591505468609	125428175	5.14526	ESN	43245	1
131955133	4.871172870116245	131943096	5.44882	ESN	12037	3
82296728	4.868200943873612	82309252	5.80066	MSL	12524	15
35516054	4.862299497346941	35470944	7.59619	ACB	45110	19
114007126	4.8606168767934985	114003078	5.00252	ACB	4048	1
35515755	4.829966836961546	35470944	7.59619	ACB	44811	19
146480571	4.82990764961918	146458610	5.21292	LWK	21961	1
116748166	4.825587985806864	116733286	5.71756	YRI	14880	2
35516931	4.81809741741756	35470944	7.59619	ACB	45987	19
35516817	4.817466907171707	35470944	7.59619	ACB	45873	19
114008604	4.812463744323794	114003078	5.00252	ACB	5526	1
146480326	4.799279311728897	146458610	5.21292	LWK	21716	1
124734275	4.787488217636926	124782040	5.71287	ACB	47765	9
146480790	4.784464253507929	146458610	5.21292	LWK	22180	1
33347348	4.774143092540225	33329689	7.33452	MSL	17659	2
146481563	4.770809818387624	146458610	5.21292	LWK	22953	1
122399405	4.759329045004426	122410127	5.60332	ESN	10722	1
32331318	4.754122351642842	32351155	5.16531	LWK	19837	1
146487483	4.748155894470568	146458610	5.21292	LWK	28873	1
63831331	4.731743694770474	63790592	5.65504	LWK	40739	1
146479951	4.71998018129716	146458610	5.21292	LWK	21341	1
63834009	4.654631756430753	63790592	5.65504	LWK	43417	1
116746034	4.644610998130168	116733286	5.71756	YRI	12748	2
90596266	4.630199159842703	90634786	5.61778	LWK	38520	1
97479382	4.624583656170324	97465273	5.12545	LWK	14109	1
97483258	4.624525782711679	97531203	5.30073	GWD	47945	2
114005087	4.612265055885697	114003078	5.00252	ACB	2009	1
110065155	4.605678974665781	110107134	5.64901	YRI	41979	1
146476206	4.604273803262159	146458610	5.21292	LWK	17596	1
90597141	4.596732013093631	90634786	5.61778	LWK	37645	1
125470975	4.595501306838949	125428175	5.14526	ESN	42800	1
125470882	4.595501306838949	125428175	5.14526	ESN	42707	1
146476208	4.592367620678518	146458610	5.21292	LWK	17598	1
146484135	4.585412094751418	146458610	5.21292	LWK	25525	1
27988397	4.56971496610751	27950588	5.16428	LWK	37809	1
146477928	4.548516298807063	146458610	5.21292	LWK	19318	1
116749210	4.537085983275945	116733286	5.71756	YRI	15924	2
31149453	4.530460152268983	31146158	5.49049	GWD	3295	1
27976726	4.512155378721172	27950588	5.16428	LWK	26138	1
99803248	4.5076993916506245	99796599	5.01388	GWD	6649	1
152229963	4.477064371551484	152244632	5.40107	ASW	14669	3
114005241	4.4766090821082205	114003078	5.00252	ACB	2163	1
124809843	4.451453664775136	124782040	5.71287	ACB	27803	8
116742874	4.44585671060234	116733286	5.71756	YRI	9588	2
146479007	4.428144434851562	146458610	5.21292	LWK	20397	1
110071151	4.416833767198122	110107134	5.64901	YRI	35983	1
146478536	4.410280424055207	146458610	5.21292	LWK	19926	1
146478620	4.409696892962499	146458610	5.21292	LWK	20010	1
42288218	4.398824163327291	42320819	5.29882	LWK	32601	1
125465634	4.398335404344878	125428175	5.14526	ESN	37459	1
146479528	4.395873237604856	146458610	5.21292	LWK	20918	1
146479200	4.383047670281423	146458610	5.21292	LWK	20590	1
110067154	4.372602490627418	110107134	5.64901	YRI	39980	1
146479368	4.369679396787383	146458610	5.21292	LWK	20758	1
146478904	4.359924326727287	146458610	5.21292	LWK	20294	1
146478868	4.359924326727287	146458610	5.21292	LWK	20258	1
146478723	4.359924326727287	146458610	5.21292	LWK	20113	1
82166917	4.355845891165619	82155170	6.07029	GWD	11747	11
99757398	4.353508227617271	99747248	5.37123	ASW	10150	6
146485488	4.305793960411105	146458610	5.21292	LWK	26878	1
125469169	4.2941816617079445	125428175	5.14526	ESN	40994	1
146476396	4.2891701560298525	146458610	5.21292	LWK	17786	1
53410097	4.258776309920283	53430674	6.97114	LWK	20577	4
146477349	4.2370451634481	146458610	5.21292	LWK	18739	1
99809689	4.233911167744897	99796599	5.01388	GWD	13090	1
99811187	4.233634696179466	99796599	5.01388	GWD	14588	1
63835785	4.211400111808647	63790592	5.65504	LWK	45193	1
82166920	4.210683280376452	82155170	6.07029	GWD	11750	11
99809439	4.196029634438969	99796599	5.01388	GWD	12840	1
146489175	4.177173060128443	146458610	5.21292	LWK	30565	1
146478130	4.171537438661986	146458610	5.21292	LWK	19520	1
31147193	4.158652500362062	31146158	5.49049	GWD	1035	1
41637378	4.147392773449348	41640566	5.14686	ACB	3188	1
35517269	4.124138646482487	35470944	7.59619	ACB	46325	19
63835651	4.116123724164575	63790592	5.65504	LWK	45059	1
62915068	4.10506872407449	62924823	6.77404	ESN	9755	9
97474765	4.104560817091023	97465273	5.12545	LWK	9492	1
35516915	4.098867223916663	35470944	7.59619	ACB	45971	19
35516527	4.092127225222828	35470944	7.59619	ACB	45583	19
53411273	4.085501521561527	53430674	6.97114	LWK	19401	4
99807289	4.083113282752638	99796599	5.01388	GWD	10690	1
99807279	4.075772155347303	99796599	5.01388	GWD	10680	1
82397883	4.065982553961868	82359272	5.15621	LWK	38611	1
97474765	4.057088538616247	97465273	5.12545	LWK	9492	1
55056856	4.052384010149183	55020959	5.46181	ACB	35897	1
124807878	4.036614684702472	124782040	5.71287	ACB	25838	8
82164084	4.032389724912998	82155170	6.07029	GWD	8914	10
116750062	4.02084118194671	116733286	5.71756	YRI	16776	2
116750400	4.00930972460603	116733286	5.71756	YRI	17114	2
116749761	3.9827075405959698	116733286	5.71756	YRI	16475	2
95775369	3.980421911660992	95735782	5.16531	LWK	39587	1
116753759	3.979082990400422	116733286	5.71756	YRI	20473	2
31144566	3.9711613355509936	31146158	5.49049	GWD	1592	1
31144552	3.9711613355509936	31146158	5.49049	GWD	1606	1
116751564	3.9611282422075313	116733286	5.71756	YRI	18278	2
122399032	3.960772067584236	122410127	5.60332	ESN	11095	1
95773800	3.948938666841567	95735782	5.16531	LWK	38018	1
116754339	3.9166458844016736	116733286	5.71756	YRI	21053	2
63529804	3.913654206962569	63528088	5.72088	YRI	1716	3
130102884	3.908381813409503	130103591	5.33928	MSL	707	2
146489463	3.904686247558112	146458610	5.21292	LWK	30853	1
32331687	3.90323680503206	32351155	5.16531	LWK	19468	1
125467171	3.9030070408474513	125428175	5.14526	ESN	38996	1
27977178	3.894016371748545	27950588	5.16428	LWK	26590	1
35513225	3.893451500246753	35470944	7.59619	ACB	42281	20
27977849	3.89200420989534	27950588	5.16428	LWK	27261	1
27975793	3.8919336174635006	27950588	5.16428	LWK	25205	1
146476767	3.885970941910318	146458610	5.21292	LWK	18157	1
35543063	3.8801891836135542	35509359	7.27039	ESN	33704	11
133504591	3.878268789268733	133472309	5.25893	LWK	32282	1
99794865	3.862466212142988	99747248	5.37123	ASW	47617	3
34052125	3.854331555319864	34008902	5.11282	MSL	43223	1
124807878	3.85320780590815	124782040	5.71287	ACB	25838	8
31962411	3.8483635717783695	32008576	5.11282	MSL	46165	1
116748275	3.8392628138319713	116733286	5.71756	YRI	14989	2
95778173	3.8331142625620473	95735782	5.16531	LWK	42391	1
11988324	3.832256321914967	12012826	6.3714	ESN	24502	6
116747871	3.828493058703261	116733286	5.71756	YRI	14585	2
116747981	3.828493058703261	116733286	5.71756	YRI	14695	2
34051434	3.826690868354347	34008902	5.11282	MSL	42532	1
99795041	3.823944681896628	99747248	5.37123	ASW	47793	3
33344178	3.823892216891714	33329689	7.33452	MSL	14489	2
63837898	3.8203779068687633	63790592	5.65504	LWK	47306	1
63838813	3.813092337313243	63790592	5.65504	LWK	48221	1
116748281	3.8042963249225217	116733286	5.71756	YRI	14995	2
20468883	3.802622081196583	20443399	5.23073	ACB	25484	1
34051007	3.795911482875195	34008902	5.11282	MSL	42105	1
31149657	3.7897814250507342	31146158	5.49049	GWD	3499	1
62915705	3.783830407622713	62924823	6.77404	ESN	9118	9
125465548	3.7809436397271	125428175	5.14526	ESN	37373	1
125465543	3.7809436397271	125428175	5.14526	ESN	37368	1
125465358	3.780926253000086	125428175	5.14526	ESN	37183	1
82162019	3.776702500010449	82155170	6.07029	GWD	6849	10
116757298	3.774687080889876	116733286	5.71756	YRI	24012	2
82159281	3.773540624393435	82155170	6.07029	GWD	4111	10
32330224	3.762987770745051	32351155	5.16531	LWK	20931	1
99796245	3.75539498856237	99747248	5.37123	ASW	48997	3
53408840	3.7451624596045816	53430674	6.97114	LWK	21834	4
32332210	3.743761152879336	32351155	5.16531	LWK	18945	1
95777210	3.739593431083892	95735782	5.16531	LWK	41428	1
27982112	3.7374845420505927	27950588	5.16428	LWK	31524	1
27981029	3.7227567310985528	27950588	5.16428	LWK	30441	1
31146108	3.7101764191958058	31146158	5.49049	GWD	50	1
41635695	3.7087474441904926	41640566	5.14686	ACB	4871	1
35297839	3.7057354745422137	35331153	6.03526	ESN	33314	7
63838844	3.705597814638514	63790592	5.65504	LWK	48252	1
35540887	3.704840732267316	35509359	7.27039	ESN	31528	11
146475318	3.704100933322685	146458610	5.21292	LWK	16708	1
133504591	3.7034300187152303	133472309	5.25893	LWK	32282	1
78608079	3.7010909089726938	78604313	5.21365	ACB	3766	4
116750012	3.697789932697991	116733286	5.71756	YRI	16726	2
27966984	3.696861806552009	27950588	5.16428	LWK	16396	1
35541429	3.694748189553103	35509359	7.27039	ESN	32070	11
133502504	3.6935799531729407	133472309	5.25893	LWK	30195	1
35542168	3.690402626362161	35509359	7.27039	ESN	32809	11
116746747	3.681753704476064	116733286	5.71756	YRI	13461	2
116750788	3.675119664101027	116733286	5.71756	YRI	17502	2
35297242	3.6682863703739312	35331153	6.03526	ESN	33911	7
87022612	3.663409457303119	87050871	5.58082	ACB	28259	1
35517417	3.651701424073278	35470944	7.59619	ACB	46473	19
31153467	3.648389080354166	31146158	5.49049	GWD	7309	1
99809231	3.63503592322281	99796599	5.01388	GWD	12632	1
27993640	3.632702139405647	27950588	5.16428	LWK	43052	1
82158984	3.623663892435346	82155170	6.07029	GWD	3814	10
35515683	3.61711798984854	35470944	7.59619	ACB	44739	19
35515956	3.601313998303141	35470944	7.59619	ACB	45012	19
63836918	3.600347564769223	63790592	5.65504	LWK	46326	1
31961742	3.597601588255131	32008576	5.11282	MSL	46834	1
133503257	3.597042354950319	133472309	5.25893	LWK	30948	1
35515587	3.594551768686552	35470944	7.59619	ACB	44643	20
100106819	3.588625376967489	100134485	5.68662	LWK	27666	2
82160861	3.58725455816908	82155170	6.07029	GWD	5691	10
99811089	3.5797790388272284	99796599	5.01388	GWD	14490	1
125464567	3.577531189555641	125428175	5.14526	ESN	36392	1
35514913	3.568563939253699	35470944	7.59619	ACB	43969	20
116747844	3.56702834195801	116733286	5.71756	YRI	14558	2
97476039	3.5576028529427326	97465273	5.12545	LWK	10766	1
31155583	3.5573501097457485	31146158	5.49049	GWD	9425	1
35514278	3.5542337038106027	35470944	7.59619	ACB	43334	20
35514004	3.547887326613488	35470944	7.59619	ACB	43060	20
125464242	3.547382560691005	125428175	5.14526	ESN	36067	1
33439553	3.5353464525064715	33448903	5.31218	ASW	9350	1
133511983	3.5351617044888424	133472309	5.25893	LWK	39674	1
82156205	3.5313167154662275	82155170	6.07029	GWD	1035	9
63527719	3.531182431645964	63528088	5.72088	YRI	369	3
35536471	3.529436981204717	35509359	7.27039	ESN	27112	12
82155170	3.528900008909206	82155170	6.07029	GWD	0	9
27966123	3.517030256115943	27950588	5.16428	LWK	15535	1
20455792	3.5159248027346144	20443399	5.23073	ACB	12393	1
11987909	3.514333933895193	12012826	6.3714	ESN	24917	6
35537174	3.5128606176332906	35509359	7.27039	ESN	27815	12
82158033	3.5086266047615355	82155170	6.07029	GWD	2863	10
33439543	3.5086098747478536	33448903	5.31218	ASW	9360	1
82158311	3.505314862884899	82155170	6.07029	GWD	3141	10
63838990	3.4994480038753784	63790592	5.65504	LWK	48398	1
99790728	3.494938477472884	99747248	5.37123	ASW	43480	4
63837168	3.492968587252367	63790592	5.65504	LWK	46576	1
133519606	3.4857449890095844	133472309	5.25893	LWK	47297	1
133512679	3.4844945704039354	133472309	5.25893	LWK	40370	1
46350083	3.474100039449	46300826	5.18882	YRI	49257	2
82160685	3.470422475446132	82155170	6.07029	GWD	5515	10
63838010	3.4669131875177137	63790592	5.65504	LWK	47418	1
11988616	3.4662481256797832	12012826	6.3714	ESN	24210	6
82159484	3.456446090161027	82155170	6.07029	GWD	4314	10
63525172	3.453275949343406	63528088	5.72088	YRI	2916	2
133505760	3.4484157630235024	133472309	5.25893	LWK	33451	1
133506817	3.445415155339927	133472309	5.25893	LWK	34508	1
42295352	3.4437745076036483	42320819	5.29882	LWK	25467	1
122406058	3.442299925074756	122410127	5.60332	ESN	4069	1
122405858	3.442299925074756	122410127	5.60332	ESN	4269	1
133519486	3.441952037254211	133472309	5.25893	LWK	47177	1
99757396	3.437894682748753	99747248	5.37123	ASW	10148	6
62918741	3.436636575205325	62924823	6.77404	ESN	6082	8
133507680	3.4358752041646143	133472309	5.25893	LWK	35371	1
146479889	3.4320200276053616	146458610	5.21292	LWK	21279	1
133510276	3.426596771717311	133472309	5.25893	LWK	37967	1
133510288	3.426596771717311	133472309	5.25893	LWK	37979	1
133519149	3.4214586746126874	133472309	5.25893	LWK	46840	1
133508723	3.420765087710252	133472309	5.25893	LWK	36414	1
34028780	3.420286224689056	34008902	5.11282	MSL	19878	1
34028597	3.4184371464953065	34008902	5.11282	MSL	19695	1
34028240	3.416258536186015	34008902	5.11282	MSL	19338	1
133519312	3.41561499261085	133472309	5.25893	LWK	47003	1
133510357	3.411491194671642	133472309	5.25893	LWK	38048	1
97473547	3.408886276073742	97465273	5.12545	LWK	8274	1
63527719	3.408144556165381	63528088	5.72088	YRI	369	3
42291758	3.406793191170295	42320819	5.29882	LWK	29061	1
133510760	3.40613408878056	133472309	5.25893	LWK	38451	1
63527719	3.404651348266069	63528088	5.72088	YRI	369	3
78700981	3.403053655351254	78655154	5.03851	ACB	45827	2
78703544	3.4003203542222904	78655154	5.03851	ACB	48390	1
133512242	3.3996125146656904	133472309	5.25893	LWK	39933	1
146482999	3.398987045130752	146458610	5.21292	LWK	24389	1
110070512	3.3964857589961275	110107134	5.64901	YRI	36622	1
82157048	3.390696943384701	82155170	6.07029	GWD	1878	10
133513347	3.382860545307359	133472309	5.25893	LWK	41038	1
63527778	3.3794135154771414	63528088	5.72088	YRI	310	3
110973595	3.37726414088991	111005660	6.07029	GWD	32065	1
62915368	3.3751154696416137	62924823	6.77404	ESN	9455	9
63839350	3.364300800483941	63790592	5.65504	LWK	48758	1
41459937	3.359636347914334	41475313	5.30338	GWD	15376	1
62916160	3.357166355170616	62924823	6.77404	ESN	8663	8
63528088	3.352539679598153	63528088	5.72088	YRI	0	3
63525265	3.341729670118359	63528088	5.72088	YRI	2823	2
63839930	3.340555041570553	63790592	5.65504	LWK	49338	1
20468864	3.335076249321185	20443399	5.23073	ACB	25465	1
20464799	3.327208586506435	20443399	5.23073	ACB	21400	1
124821182	3.315026902892921	124782040	5.71287	ACB	39142	4
63840213	3.3142307709022565	63790592	5.65504	LWK	49621	1
62915688	3.3010520387274846	62924823	6.77404	ESN	9135	9
100096608	3.294683355734847	100134485	5.68662	LWK	37877	2
27966997	3.286250140251596	27950588	5.16428	LWK	16409	1
82156513	3.275437600120859	82155170	6.07029	GWD	1343	10
62918974	3.268852396055003	62924823	6.77404	ESN	5849	8
82156929	3.266916867595711	82155170	6.07029	GWD	1759	10
133515680	3.262483503722393	133472309	5.25893	LWK	43371	1
82157372	3.2610493686686324	82155170	6.07029	GWD	2202	10
32319433	3.255283874070465	32351155	5.16531	LWK	31722	1
133507920	3.24733674438926	133472309	5.25893	LWK	35611	1
17136240	3.246307887120002	17115983	5.12491	ACB	20257	2
133519994	3.246275738029872	133472309	5.25893	LWK	47685	1
34055308	3.2443149529099338	34008902	5.11282	MSL	46406	1
133520499	3.2424190349781603	133472309	5.25893	LWK	48190	1
133520179	3.2398813247663143	133472309	5.25893	LWK	47870	1
63525791	3.238275706644334	63528088	5.72088	YRI	2297	2
114002149	3.2313441357274195	114003078	5.00252	ACB	929	1
63525226	3.226935652655071	63528088	5.72088	YRI	2862	2
82100847	3.22675937765216	82138759	5.13889	YRI	37912	5
99814759	3.2261184193482046	99796599	5.01388	GWD	18160	1
3775978	3.2244842717863103	3747072	5.87486	MSL	28906	4
125464396	3.209316660289651	125428175	5.14526	ESN	36221	1
99815702	3.209029023082904	99796599	5.01388	GWD	19103	1
78608349	3.2034067795515213	78604313	5.21365	ACB	4036	4
136100850	3.1939147864388877	136058049	5.54436	LWK	42801	6
35514770	3.189325539181887	35470944	7.59619	ACB	43826	20
97873096	3.1882106091756186	97833845	5.56755	YRI	39251	1
53415843	3.177104116303968	53430674	6.97114	LWK	14831	4
146481627	3.176881553608402	146458610	5.21292	LWK	23017	1
62917728	3.173178650077282	62924823	6.77404	ESN	7095	8
62918242	3.1714948013698496	62924823	6.77404	ESN	6581	8
133520798	3.170827743001365	133472309	5.25893	LWK	48489	1
136096342	3.167636389877522	136058049	5.54436	LWK	38293	6
35543602	3.15655095072165	35509359	7.27039	ESN	34243	11
62920453	3.150121359435159	62924823	6.77404	ESN	4370	8
99808603	3.14890271360299	99796599	5.01388	GWD	12004	1
122409305	3.146481967020219	122410127	5.60332	ESN	822	1
35543905	3.143224171103963	35509359	7.27039	ESN	34546	11
136100573	3.127402709150407	136058049	5.54436	LWK	42524	6
87025621	3.1270242546168743	87050871	5.58082	ACB	25250	1
41465241	3.1268192682287417	41475313	5.30338	GWD	10072	1
32316415	3.1256683189553605	32351155	5.16531	LWK	34740	1
114009857	3.114973335101204	114003078	5.00252	ACB	6779	1
62919596	3.1092634116482496	62924823	6.77404	ESN	5227	8
62920052	3.10866598954648	62924823	6.77404	ESN	4771	8
17134653	3.1020825317201512	17115983	5.12491	ACB	18670	2
41463668	3.099586149474247	41475313	5.30338	GWD	11645	1
41463475	3.099586149474247	41475313	5.30338	GWD	11838	1
87023598	3.098534523732036	87050871	5.58082	ACB	27273	1
123030352	3.0875270097110925	123047322	5.82743	LWK	16970	1
65981169	3.084128469860905	65946012	5.10423	MSL	35157	2
124897868	3.083439599232557	124887100	5.57208	GWD	10768	2
78608249	3.0718033795791198	78604313	5.21365	ACB	3936	4
131951966	3.071740880272808	131943096	5.44882	ESN	8870	3
99812179	3.071709630864345	99796599	5.01388	GWD	15580	1
82402424	3.066415213247999	82359272	5.15621	LWK	43152	1
17139025	3.062669786297534	17115983	5.12491	ACB	23042	2
99804185	3.061421832584046	99796599	5.01388	GWD	7586	1
62920849	3.061312649050127	62924823	6.77404	ESN	3974	8
63524306	3.06073556927566	63528088	5.72088	YRI	3782	2
146482525	3.056557306508977	146458610	5.21292	LWK	23915	1
122404864	3.0546250713713285	122410127	5.60332	ESN	5263	1
82153175	3.0520393508210137	82155170	6.07029	GWD	1995	8
146490758	3.050809191600817	146458610	5.21292	LWK	32148	1
116752849	3.047618192999851	116733286	5.71756	YRI	19563	2
123030887	3.041490059633124	123047322	5.82743	LWK	16435	1
27991876	3.0400134108116683	27950588	5.16428	LWK	41288	1
78703296	3.039609339459493	78655154	5.03851	ACB	48142	1
27992842	3.0384905164351483	27950588	5.16428	LWK	42254	1
67492768	3.029888862061754	67477413	5.33394	ACB	15355	2
97471690	3.027732648070768	97465273	5.12545	LWK	6417	1
33987605	3.025871801626861	34008902	5.11282	MSL	21297	1
146475058	3.019673217923862	146458610	5.21292	LWK	16448	1
146488495	3.0072956070745867	146458610	5.21292	LWK	29885	1
97472326	3.0014871363954314	97465273	5.12545	LWK	7053	1
110069570	3.0010856996937307	110107134	5.64901	YRI	37564	1
82153175	2.992399804044146	82155170	6.07029	GWD	1995	8
35545935	2.989918289161269	35509359	7.27039	ESN	36576	11
3566767	2.9859746999360177	3614834	5.61126	ESN	48067	1
99792859	2.9754817556217805	99747248	5.37123	ASW	45611	4
35515208	2.972730879724756	35470944	7.59619	ACB	44264	20
97471690	2.9726694225375145	97465273	5.12545	LWK	6417	1
62921154	2.9709642454155887	62924823	6.77404	ESN	3669	8
97477611	2.9705956244177143	97465273	5.12545	LWK	12338	1
132366299	2.968829640822712	132386323	5.69599	ACB	20024	3
97473342	2.968491861827767	97465273	5.12545	LWK	8069	1
146487931	2.965498772869639	146458610	5.21292	LWK	29321	1
