chr	overlap_start	overlap_end	overlap_kb	ihs_max	ihs_peak_pos	xpehh_max	xpehh_peak_pos	ihs_region	xpehh_region
X	11687552	14095466	2407.91	4.0628	15032874	28.0804	12679671	10770410-15100102	11687552-14095466
X	22782720	23795572	1012.85	4.0552	24220274	31.0450	22880336	22782720-24223659	22096587-23795572
X	53259188	53323933	64.75	4.0200	53354735	11.2684	53282994	53181675-54083433	53259188-53323933
X	53881577	53887660	6.08	4.0200	53354735	5.5636	53883344	53181675-54083433	53881577-53887660
X	136113355	136520145	406.79	3.8668	135735881	8.2650	136120442	135470753-136865539	136113355-136520145
X	135470753	135477024	6.27	3.8668	135735881	5.9075	135470990	135470753-136865539	135470049-135477024
X	7838294	10085162	2246.87	3.8067	9271036	29.2289	9935338	7838294-10085162	7825261-10212809
X	150137637	150403879	266.24	3.5802	150144520	19.2629	151312501	150137637-150403879	149763790-152814722
X	137991965	137993174	1.21	3.5394	138078579	4.0628	137992121	137394204-138224448	137991965-137993174
X	129370323	129997794	627.47	3.1699	129384320	5.4753	129796635	129370323-130104277	129136355-129997794
X	134530482	134929589	399.11	2.7738	134410621	5.8451	134929003	134406062-134965062	134530482-134929589
X	39159755	39360553	200.80	-2.5205	39161766	19.2701	39162366	39159755-39360553	38867421-41954700
X	149252833	149262077	9.24	2.4810	149349250	9.3132	149253626	149252833-149426213	149232308-149262077
X	50650517	50656926	6.41	-2.2422	50650517	13.1932	50651437	50650517-50656926	50636075-50935886
X	40064867	40379529	314.66	-2.2050	40279485	19.2701	39162366	40064867-40379529	38867421-41954700
